info,address,occurred_date,recorded_date
若い女性が屋上から飛び降り自殺,東京都新宿区歌舞伎町二丁目331,平成30年5月13日,平成30年5月15日
伊勢丹テナント関係者の首吊り自殺,東京都新宿区新宿五丁目1610,2008年頃,平成26年4月7日
309号室、709号室、808号室 告知事項あり,東京都新宿区歌舞伎町二丁目185 プラーズタワー東新宿,令和4年8月20日,令和4年8月20日
1409号室 告知事項あり,東京都新宿区歌舞伎町二丁目185 プラーズタワー東新宿,令和4年9月17日,令和4年9月18日
ビルの4階で死体〆76,東京都新宿区歌舞伎町二丁目2711,平成23年6月29日,令和3年1月29日
若い女性屋上から飛び降り,東京都新宿区歌舞伎町二丁目331第6トーアビル,10年ほど前,平成30年7月22日
心理的瑕疵物件あり,東京都新宿区歌舞伎町二丁目185プラーズタワー東新宿405,不明,平成28年7月18日
傷害致死,東京都新宿区新宿六丁目2811ライオンズマンション新宿303,平成26年5月21日,平成26年5月21日
ホテル白川郷9階外階段付近から、飛び降り自殺  身元不明男性,東京都新宿区歌舞伎町二丁目2911,平成18年8月18日,平成25年11月12日
809号室、1209号室 告知事項あり,東京都新宿区歌舞伎町二丁目185 プラーズタワー東新宿,令和4年5月26日,令和4年5月27日
転落死,東京都新宿区歌舞伎町二丁目105 G2ビル6階非常階段↓,平成26年8月2日,平成26年8月3日
309号室 首吊り自殺,東京都新宿区新宿五丁目1820 ビジネスホテルミラベル,平成20年12月4日,令和4年9月25日
114号室 宅地建物取引業47条1項に基づく告知事項有り,東京都新宿区歌舞伎町二丁目220 ライオンズマンション歌舞伎町A棟,令和4年5月21日,令和4年5月22日
早朝に屋上から若い女性の飛び降り自殺。,東京都新宿区歌舞伎町一丁目126 歌舞伎町ビル,平成21年6月29日,平成27年6月15日
螺旋階段から転落死,東京都新宿区歌舞伎町二丁目107ダイヤモンドビル,平成22年,令和3年9月7日
転落死,東京都新宿区歌舞伎町一丁目62TWingビル9階↓,平成26年12月12日,平成26年12月15日
301号室 心理的瑕疵有り。HOMESより,東京都新宿区新宿六丁目2722 KT三光ビル,令和4年4月28日,令和4年4月29日
死体発見,東京都新宿区歌舞伎町二丁目910ギンレイビルパート2 3階外廊下,平成25年6月24日,平成25年11月6日
刺殺,東京都新宿区歌舞伎町一丁目115扇園ビル1階,平成20年4月8日,
撲殺,東京都新宿区歌舞伎町二丁目221,平成24年5月17日,平成31年1月4日
707号室、910号室 告知事項あり,東京都新宿区歌舞伎町二丁目185 プラーズタワー東新宿,令和4年6月23日,令和4年6月23日
遺体発見,東京都新宿区歌舞伎町二丁目305,平成30年12月25日,令和5年4月4日
飛び降り,東京都新宿区歌舞伎町二丁目305,平成25年9月4日,平成25年9月4日
刺殺,東京都新宿区歌舞伎町二丁目323新宿セントラルビル3F,平成19年4月5日,
B1・キャバ嬢自殺,東京都新宿区歌舞伎町二丁目106,2006〜2012の間,平成28年6月3日
5階から飛び降り,東京都新宿区新宿五丁目1811,2015年ころ,平成29年4月20日
ホテルDWAVE308号室にて男性が不審死,東京都新宿区歌舞伎町二丁目86,令和2年1月30日,令和2年3月31日
死体発見,東京都新宿区歌舞伎町二丁目221ホテルシェーナ504,平成22年6月24日,
ルックハイツ新宿607  自殺・変死,東京都新宿区新宿五丁目1820,不明,平成28年12月17日
死体発見,東京都新宿区歌舞伎町二丁目3311ホテル大松,平成24年4月3日,平成24年5月21日
傷害致死,東京都新宿区歌舞伎町二丁目148 メトロプラザ4F,令和元年9月21日,令和元年9月22日
女性が飛び降り自殺 たこ焼き屋 たこ心の前に落下  落下時男性を巻き込みました    このたこ焼き食べたくないな,東京都新宿区歌舞伎町二丁目22,平成30年10月2日,平成30年10月3日
ホテルパシャ702号室にて20～30代の男性が死亡しているのを発見。官報より,東京都新宿区歌舞伎町二丁目1012,令和3年7月13日,令和3年9月22日
2012飛降り,東京都新宿区歌舞伎町二丁目26,平成24年10月1日,平成25年12月12日
絞殺,東京都新宿区新宿六丁目2719金光コーポ新宿805,平成19年5月31日,
刺殺,東京都新宿区歌舞伎町二丁目221ライオンズマンション歌舞伎町,令和5年5月29日,令和5年5月29日
飛び降り自殺,東京都新宿区新宿五丁目1810,令和4年12月12日,令和4年12月12日
喧嘩になり撲殺,東京都新宿区歌舞伎町二丁目186日光ビル,不明,平成30年9月2日
薬物により落下事故。2012未明,東京都新宿区歌舞伎町二丁目68,平成25年6月1日,平成25年12月12日
飛び降り自殺,東京都新宿区歌舞伎町二丁目215,平成30年10月12日,平成30年10月12日
転落死の可能性有。,東京都新宿区歌舞伎町二丁目292,分かりません。,平成30年4月25日
転落死,東京都新宿区歌舞伎町二丁目212ソフィア2 8階↓,平成20年11月28日,
射殺,東京都新宿区歌舞伎町一丁目123 5階,平成31年1月21日,平成31年1月21日
絞殺,東京都新宿区歌舞伎町二丁目338ホテルビーナス,平成27年9月11日,平成27年9月11日
死体発見,東京都新宿区歌舞伎町二丁目359コインロッカー,平成30年5月29日,平成30年5月29日
飛び降り自殺,東京都新宿区歌舞伎町二丁目185プラーズタワー東新宿↓,平成25年3月9日,平成25年3月9日
告知事項あり,東京都新宿区歌舞伎町二丁目185 プラ－ズタワ－東新宿 ［14階1410号室］，16階,不明,平成29年11月1日
倉庫2階 腐乱死体発見,東京都新宿区新宿五丁目189 シンエイ商会,平成22年5月31日,令和4年9月18日
斬殺,東京都新宿区新宿五丁目155,平成18年12月12日,令和4年12月12日
死体遺棄,東京都新宿区歌舞伎町二丁目5パークネット歌舞伎町第3駐車場,平成29年2月15日,平成29年2月17日
飛び降り自殺,東京都新宿区歌舞伎町二丁目185,平成26年12月,平成27年9月16日
無理心中,東京都新宿区歌舞伎町二丁目288ホテルアランド,平成22年8月26日,平成23年7月1日
8階から飛び降り自殺,東京都新宿区歌舞伎町二丁目215,平成30年10月26日,平成30年10月31日
オーナーの突然死 死体発見,東京都新宿区歌舞伎町一丁目1,2020 1月,令和2年2月6日
転落死,東京都新宿区歌舞伎町二丁目26 ライオンズマンション歌舞伎町第2701,平成25年2月10日,平成28年3月6日
401号、病死,東京都新宿区歌舞伎町二丁目9−１５,26年5月,平成26年10月19日
自殺,東京都新宿区歌舞伎町二丁目2210,平成30年10月2日,平成30年10月12日
ホテルから飛び降り自殺 最上ビルとホテルの間で死亡。,東京都新宿区歌舞伎町二丁目8,平成25年1月15日,令和5年1月11日
首吊り自殺,東京都新宿区歌舞伎町二丁目308ホテルラモード607,平成25年1月20日,平成25年1月23日
硫化水素自殺,東京都新宿区歌舞伎町二丁目1115ホテルイマージュ506,平成20年5月19日,
湊□クリニック手術ミスによる患者死亡（現在は閉院）,東京都新宿区歌舞伎町二丁目2017朝日新宿館5F,2012年某月,平成25年4月16日
中国人女性飛び降りゴミ置き場に転落,東京都新宿区歌舞伎町一丁目27歌舞伎町ダイカンプラザ星座館,約10年前,平成30年7月22日
死体発見,東京都新宿区歌舞伎町二丁目918ライオンズプラザ新宿2階踊り場,令和元年6月30日,令和元年6月30日
死体発見,東京都新宿区歌舞伎町二丁目288ホテルアランド,平成29年12月5日,平成29年12月5日
死体発見,東京都新宿区歌舞伎町二丁目401レディース510,平成23年3月1日,
首吊り自殺,東京都新宿区歌舞伎町二丁目918,平成28年2月5日,令和2年9月24日
前のホテルだった頃、女性の遺体発見,東京都新宿区歌舞伎町二丁目274,7年前ぐらい？,平成27年12月5日
火災による死亡,東京都新宿区歌舞伎町二丁目2811ホテルまつき1階2階間踊り場,平成28年1月7日,平成28年1月7日
無理心中 ．,東京都新宿区歌舞伎町二丁目111,令和3年4月16日,令和3年4月17日
車両事故死,東京都新宿区歌舞伎町二丁目917,平成29年8月19日,平成29年8月19日
傷害致死,東京都新宿区歌舞伎町一丁目27星座館屋上,令和3年11月27日,令和3年11月28日
飛び降り自殺 ．,東京都新宿区歌舞伎町二丁目214,平成30年10月2日,平成30年10月2日
飛び降り自殺,東京都新宿区歌舞伎町一丁目4,令和2年7月10日,令和4年3月7日
死体遺棄,東京都新宿区歌舞伎町二丁目286ホテルジロー,平成29年12月11日,平成30年3月23日
1階 101号室 2018年11月10日 告知事項有り,東京都新宿区新宿六丁目2720 ダイヤモンドレジデンス新宿,平成30年11月10日,平成30年12月2日
首吊り,東京都新宿区歌舞伎町二丁目2311,2005年,令和3年10月27日
不動産業者より告知物件との報告有,東京都新宿区歌舞伎町二丁目18,2022年5月頃,令和4年11月26日
自殺。,東京都新宿区歌舞伎町二丁目305,平成28年2月19日,平成30年4月25日
セントラルホテル東京  部屋不明  バス内で女性が首つり自殺,東京都新宿区新宿三丁目347,平成18年4月25日,平成25年11月12日
飛び降り自殺,東京都新宿区新宿二丁目64,平成27年11月4日,平成27年11月4日
敷地内 刺殺,東京都新宿区新宿三丁目191,平成21年7月19日,令和4年9月22日
ホテル建設中屋上より飛び降り自殺,東京都新宿区新宿三丁目72,平成27年2月5日,平成27年3月6日
2010年頃  屋上より飛び降り自殺有り,東京都新宿区新宿三丁目2911,20010,平成28年11月21日
遺体発見,東京都新宿区新宿三丁目342 個室ビデオ個室内,平成26年6月25日,平成26年6月26日
飛び降り自殺,東京都新宿区新宿三丁目175カワセビル屋上↓,平成20年3月2日,
男性飛び降り自殺,東京都新宿区新宿三丁目181,平成18年9月4日,平成26年1月24日
清掃業者が転落して死亡,東京都新宿区新宿三丁目326,2011年ごろ,平成28年6月16日
ビルとビルの間で死体発見 ．,東京都新宿区新宿三丁目135,平成30年10月15日,平成30年10月15日
火災による死亡,東京都台東区東上野六丁目81鍋谷ビル1階,令和2年1月5日,令和2年1月6日
Log上野駅前903号室病死（死後時間経過）,東京都台東区東上野四丁目1012 Log上野駅前,2018年夏,令和元年8月24日
5階 西向き2LDK（LDK147帖、洋室63帖、洋室53帖、洋室45帖） 専有面積7415㎡ バルコニー面積497㎡ 価格6480万円 管理費等14760円 修繕積立金14910円 告知事項あり,東京都台東区東上野五丁目215 ジェイパーク上野アクシス,令和4年8月4日,令和4年8月5日
白骨死体,東京都台東区東上野六丁目124,平成29年5月19日,平成29年5月19日
熱中症による死亡,東京都台東区東上野六丁目126,平成19年8月12日,
飛び降り自殺,東京都台東区東上野三丁目234,平成28年6月14日,平成28年6月14日
1階2号室 感電死,東京都台東区東上野三丁目365 ホテル大泉,平成21年10月1日,令和4年10月15日
身元不明の男性遺体発見,東京都台東区東上野四丁目79,平成22年12月22日,平成26年3月26日
8階で30歳男性病死発見時、死後数日経過してた模様,東京都台東区東上野四丁目122,令和2年6月10日,令和2年6月10日
4階トイレ 死体発見,東京都台東区東上野六丁目28 サウナホテルニュー大泉,平成19年1月10日,令和4年10月7日
転落死,東京都台東区上野七丁目95,平成27年11月29日,令和2年11月29日
13階 死後3ヶ月後異臭で発見される,東京都台東区東上野4ｰ4ｰ9,2015年9月,平成28年5月30日
新築工事現場2階エレベーターホール 50～70歳男性の白骨化死体発見,東京都台東区東上野五丁目165 （仮称）三正東上野ビル,平成10年3月19日,令和4年9月29日
ル・リオン上野ステーションコート  病死（死後数日間放置）,東京都台東区上野七丁目92,2012年頃,平成26年7月26日
飛び降り,東京都台東区東上野三丁目1211,平成27年1月12日,令和3年2月12日
脳梗塞による孤高死。単身赴任中に死去,東京都台東区台東四丁目2915 ４０２号室,平成26年6月23日,平成28年11月17日
殺人,東京都台東区東上野二丁目62パーク・キューブ上野705,平成21年2月25日,
首吊り,東京都台東区台東四丁目266,令和2年2月12日,令和3年2月12日
302の住民が死亡,東京都台東区元浅草二丁目212,2020年10月,令和5年5月29日
飛び降り,東京都台東区東上野二丁目2512,平成31年2月12日,令和3年2月12日
飛び降り自殺,東京都台東区元浅草一丁目38,令和4年7月6日,令和4年7月7日
硫化水素自殺,東京都台東区元浅草二丁目78ツクバホテル713,平成21年5月10日,
仮眠室にて病死,東京都台東区東上野一丁目268,2015年頃,令和元年7月30日
共用部外階段より投身自殺,東京都台東区花川戸一丁目136,2008年以前,令和2年7月9日
死体発見,東京都台東区浅草二丁目331スーパーホテル浅草703,平成25年12月7日,平成26年5月20日
首吊り自殺,東京都台東区花川戸一丁目36 花川戸ビル,平成19年1月27日,令和4年10月21日
修繕工事時足場首吊り自殺  1Fにて,東京都台東区雷門二丁目178,2007年,平成29年10月11日
死体発見,東京都台東区花川戸一丁目1511,平成22年12月19日,令和4年10月24日
孤高死。発見が遅れ、液状化。民泊。,東京都墨田区向島二丁目3,2010年7月,令和2年7月18日
４階男性孤高死発見,東京都墨田区向島一丁目126,令和2年6月21日,令和3年2月25日
301号室 角部屋 告知事項あり,東京都墨田区向島一丁目97 ホタカリュミエール・イワタ,令和4年6月1日,令和4年6月1日
803号室 角部屋 分譲賃貸 心理的瑕疵有,東京都墨田区向島一丁目65 ハイズ墨田パークレジデンス,令和4年10月16日,令和4年10月17日
発見が遅れ死亡日わからず。一部腐敗,東京都墨田区向島二丁目26,平成28年5月28日から29日の間,令和5年2月19日
敷地内 年齢50歳位男性の死体発見,東京都墨田区吾妻橋一丁目2320 墨田区役所,平成22年7月10日,令和4年9月13日
飛び降り自殺,東京都墨田区東駒形一丁目32 部屋番号不明,平成30年5月3日,平成30年6月1日
飛び降りて死亡,東京都墨田区吾妻橋一丁目2330 URリバーピア吾妻橋ライフタワー1907↓,平成30年10月4日,平成30年10月4日
4階 南向き1K 専有面積2975㎡ 賃料85万円 管理費等5000円 告知事項あり 新規室内リフォーム済み、キッチンシンク・エアコン新品,東京都墨田区吾妻橋一丁目16 ドウェルアヅマ,令和4年8月25日,令和4年8月25日
詳細の日付は不明だが5階の部屋で住人が孤高死してる,東京都墨田区吾妻橋二丁目51,令和元年10月1日,令和元年12月6日
首吊り自殺,東京都墨田区吾妻橋三丁目1115ラフィーヌすみだ501,,
2階 南向き2DK（洋室5帖、和室6畳、DK86帖） 専有面積4834㎡ 告知事項有り 定期借家（1年）,東京都墨田区東駒形三丁目1613 本所シティハウス,令和4年5月18日,令和4年5月18日
心理的瑕疵物件,東京都豊島区南池袋二丁目3016,令和3年11月,令和4年5月16日
11階あたりの部屋から飛び降り自殺  1階の裏口に落下,東京都豊島区南池袋二丁目917,2013年1月ごろ,平成28年10月8日
男性の変死体発見,東京都豊島区南池袋二丁目917ニッシンパレステージ池袋804,2018年６月,平成30年10月22日
飛び降り自殺,東京都豊島区南池袋二丁目818,平成27年8月30日,平成28年9月9日
心理的瑕疵物件あり8階,東京都豊島区南池袋二丁目86,不明,平成28年7月6日
三階の一室にて自殺,東京都豊島区南池袋二丁目4321,2012年前後,平成28年4月2日
生徒が飛び降り自殺  2013年には中1女子生徒が電車に飛び込み自殺,東京都豊島区東池袋一丁目2522,2007年,令和4年2月22日
死体遺棄,東京都豊島区南池袋二丁目261ホテルティファニー601,平成17年11月11日,
死体発見,東京都渋谷区神南一丁目417,平成22年2月24日,令和4年9月18日
飛び降り自殺,東京都渋谷区宇田川町103,平成27年8月21日,平成27年8月22日
転落死,東京都渋谷区神南一丁目818クオリア神南フラッツ建設現場11階↓,平成19年8月5日,
10階非常階段から落下して死亡,東京都渋谷区神南一丁目2013,2021年前半,令和4年9月6日
死体発見,愛知県名古屋市港区港陽一丁目150ファミール港陽ベイレジデンス9階東端の部屋,平成30年10月29日,平成30年10月30日
自殺による転落死,愛知県名古屋市港区港楽一丁目1−１０ 市営港楽荘1棟,平成26年5月12日,平成26年5月12日
事故住宅,愛知県名古屋市港区港楽一丁目110 市営港楽荘1棟 201,不明,平成29年2月22日
2名の死体発見,愛知県名古屋市港区港楽一丁目110 市営港楽荘1棟,令和4年11月3日,令和4年11月4日
自殺,愛知県名古屋市港区港楽二丁目1118,令和2年11月3日,令和3年1月3日
今日道を通ったら団地の一室で火災が発生していた。かなり燃えていたので中の人はなくなっているかもしれない。そのあとガスの緊急車両が通っていったからガス漏れかも,愛知県名古屋市港区港陽一丁目1,令和2年9月6日,令和2年9月6日
孤高死,東京都世田谷区梅丘三丁目125メゾン吉田,平成23年5月頃,平成25年6月2日
３０７号室の居室にて自殺,東京都世田谷区若林四丁目394,20118月,平成23年12月2日
腐乱死。 体液が玄関扉からも溢れ、一帯が強烈な臭いでした。,東京都世田谷区若林五丁目188 エステート増永 201号室,令和3年7月,令和4年9月10日
火災による死亡,東京都世田谷区梅丘三丁目137,平成23年1月3日,
屋上より女性が飛び降り自殺,東京都世田谷区世田谷三丁目2320,平成29年1月18日,平成29年11月12日
１２階から若いカップル飛び降り（外部）,東京都世田谷区世田谷三丁目118,令和4年7月9日,令和4年8月1日
男性が自殺,東京都世田谷区世田谷四丁目173,15年ほど前,平成29年12月14日
老人が孤高死をし、死後1か月ほどでやっと発見された。  部屋に酷い死臭が染みついてる,東京都世田谷区若林四丁目1214コーポシンエイ202,2020年9月13日,令和2年9月15日
死体発見,東京都世田谷区若林四丁目1627,最近,平成30年9月26日
火災による死亡,東京都世田谷区若林三丁目3010,令和4年2月5日,令和4年2月6日
母屋隣のアパート（２階部分）で孤高死 強烈な臭いでした,東京都世田谷区若林四丁目2111,令和３年７月頃,令和4年10月28日
自殺,東京都大田区西蒲田七丁目23第2醍醐ビル6F,平成22年10月14日,
自殺か病死かは分からないがこのホテルの5F512号室で人が亡くなっていたらしい。朝起きたらちょうど警察が来ていて遺体を運び出そうとしていた場面に遭遇した。,東京都大田区蒲田五丁目184,令和5年2月26日,令和5年2月26日
ガス自殺,東京都大田区蒲田五丁目119 404,平成24年7月28日,平成24年7月28日
駐車場 死体発見,東京都大田区西蒲田七丁目68 グランデュオ蒲田,平成21年5月15日,令和4年10月14日
3階女子便所 死体発見,東京都大田区蒲田五丁目131,平成22年7月28日,令和4年10月24日
死体発見,東京都大田区西蒲田八丁目2011,平成27年,令和元年9月13日
10階 角部屋 告知事項あり,東京都大田区蒲田五丁目4810 ハイライフ蒲田,令和4年10月16日,令和4年10月17日
7階 北向き1K（洋室6帖、K2帖） 専有面積2100㎡ 心理的瑕疵有,東京都大田区蒲田五丁目502 スカイコート蒲田ガーデン,令和3年11月26日,令和4年5月21日
自殺,東京都大田区西蒲田七丁目659,2年前,平成29年11月2日
飛び降り自殺,東京都大田区西蒲田八丁目21 西蒲田スカイハイツ,2013年,令和5年7月14日
住人ではなかった女の子が7階から駐車場へ飛び降り。,東京都中野区新井二丁目311,2000年1月,平成27年9月24日
自殺,東京都中野区野方一丁目291アーバンアメニティ中野5階,2015年ごろ,平成30年7月14日
本籍・住所・氏名・年齢不詳、男性、身長160センチメートル、中肉 上記の者は令和2年7月28日午後10時35分頃、東京都中野区野方1丁目5番17号中野ダイヤハイツ309において死亡の状態で発見されました。遺体は火葬に付し遺骨は保管してあります。心当たりの方は、当区健康福祉部生活援護課までお申し出ください。（官報号外第170号2021726）,東京都中野区野方一丁目517,令和2年7月28日,令和3年8月11日
2007年に513号室の室内で旦那さんが介護疲れで首つり自殺,東京都中野区中野五丁目2416中野第二コーポ513号室,2007年,平成30年8月4日
1201号室 角部屋 分譲賃貸 告知事項有,東京都中野区中野五丁目5112 ザ・パークハウス中野タワー,令和4年9月3日,令和4年9月4日
2階 202号室 203号室 心理的瑕疵有,東京都中野区中野五丁目373 ヒルトップ1,平成30年11月8日,平成30年11月8日
某有名人の自殺,東京都中野区中野五丁目5112,令和2年12月31日,令和3年5月25日
老人の孤独死,東京都中野区中野五丁目3715 201,令和4年3月,令和5年6月15日
このマンションが出来て間もなく某有名会社の中年男性が飛び降り自殺有り,東京都中野区新井一丁目93,平成20年4月7日,平成30年7月10日
共用部より飛び降り自殺,東京都中野区中野五丁目5112 ザ・パークハウス中野タワー,2021年4月,令和4年9月2日
カウンターバー 店内で経営者首つり自殺,東京都中野区中野五丁目5615,2014,平成29年8月7日
屋上から飛び降り自殺,東京都中野区中野五丁目677 プラザ中野,平成30年6月2日,令和3年7月6日
エレベータと壁に挟まれ死亡,東京都中野区中野五丁目685ドン・キホーテ中野駅前店地下1階,平成23年11月5日,平成23年11月5日
共用部より飛び降り自殺,東京都中野区中野五丁目5112 ザ・パークハウス中野タワー,2020年12月,令和4年9月2日
コーポイーグル 2階の角部屋  下は草木が生えていてスペースが空いている  ２階に住んでいた男性が飛び降り自殺をした  敷地内による自殺,東京都中野区中野五丁目3720  201or203,平成26年10月16日,平成29年1月17日
６階から飛び降り自殺あり。,東京都中野区中野三丁目4317,平成17年,平成31年1月16日
106号室 告知事項あり,東京都中野区中野三丁目422 メゾンダルブル,令和4年5月10日,令和4年5月12日
2階 角部屋 心理的瑕疵あり 2018年6月内装一部リフォーム済み,東京都中野区中野三丁目2321 コーポ池田,平成30年4月22日,平成30年11月2日
1階 角部屋 南向き1LDK（LDK88帖、洋室5帖） 専有面積3502㎡ 賃料114万円 管理費等10000円 告知事項あり,東京都中野区中野三丁目2330 BEROOM中野,令和4年7月10日,令和4年7月10日
火災による死亡,東京都中野区中野三丁目409清風荘10,平成24年7月2日,平成24年7月2日
首吊り自殺,東京都中野区中野三丁目5013,平成23年3月8日,令和3年4月18日
102 自殺,東京都杉並区高円寺南五丁目141,20150729,平成27年7月29日
火災による死亡,東京都中野区中野三丁目422メゾンダルブル203,平成25年2月17日,平成25年2月17日
火災による死亡,東京都中野区中野三丁目348藤和シティコープ中野501,平成20年12月1日,
転落死,東京都中野区中野三丁目3012マンション中野ソレイユ9F↓,平成23年1月9日,
男性老人孤高死 死後3ヶ月後に発見される。,東京都中野区寿荘,2010年,平成28年5月14日
2階道路側の部屋,東京都中野区寿荘,2010年,平成28年5月14日
3F男子サウナ室内で死亡,東京都中野区中野二丁目1416,平成30年8月3日,平成30年8月24日
スーパーホテル709号室にて死体発見,兵庫県神戸市中央区山本通二丁目111,平成19年7月26日,平成25年2月5日
元従業員が飛び降り自殺,兵庫県神戸市中央区加納町四丁目815,2015年頃,平成29年11月1日
首吊り自殺,兵庫県神戸市中央区二宮町四丁目810 KDXレジデンス三宮自転車置き場,～5年前,平成27年3月14日
絞殺,兵庫県神戸市中央区二宮町二丁目1323,平成30年9月15日,平成30年9月16日
405号室 告知事項あり物件,兵庫県神戸市中央区布引町二丁目27,過去2年以内,平成27年7月19日
20代女性の首つり,兵庫県神戸市中央区琴ノ緒町二丁目35   7階,2015年1月,平成27年3月14日
402号室の女性が屋上8階から敷地内飛び降り,兵庫県神戸市中央区二宮町二丁目1318,2006年,令和5年7月9日
変色死体発見  httpswwwcitykobelgjpdocuments103693679pdf,兵庫県神戸市中央区二宮町三丁目2番6号山本文化203号,令和2年8月31日,令和2年10月16日
