,罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
28,窃盗,自動車盗,葛飾,宝町交番,131229,東京都,葛飾区,四つ木５丁目,2019-05-22,23,駐車（輪）場,キーあり,なし,乗用自動車
29,窃盗,自動車盗,葛飾,新小岩駅前交番,131229,東京都,葛飾区,新小岩１丁目,2019-09-01,22,駐車（輪）場,キーあり,なし,乗用自動車
30,窃盗,自動車盗,小松川,平井駅前交番,131237,東京都,江戸川区,平井５丁目,2019-11-02,4,道路上,キーあり,なし,乗用自動車
31,窃盗,自動車盗,小松川,京葉通交番,131237,東京都,江戸川区,一之江１丁目,2019-02-25,19,その他,キーあり,なし,貨物自動車
32,窃盗,自動車盗,小松川,京葉通交番,131237,東京都,江戸川区,一之江１丁目,2019-02-25,21,その他,キーあり,なし,乗用自動車
33,窃盗,自動車盗,小松川,南篠崎交番,131237,東京都,江戸川区,江戸川１丁目,2019-10-11,17,駐車（輪）場,キーあり,なし,乗用自動車
34,窃盗,自動車盗,小岩,南小岩交番,131237,東京都,江戸川区,東小岩１丁目,2019-02-08,2,駐車（輪）場,キーあり,あり,乗用自動車
35,窃盗,自動車盗,小岩,南小岩交番,131237,東京都,江戸川区,南小岩２丁目,2019-09-25,14,駐車（輪）場,キーあり,なし,貨物自動車
36,窃盗,自動車盗,小岩,小岩駅前交番,131237,東京都,江戸川区,南小岩８丁目,2019-10-16,7,道路上,キーあり,なし,乗用自動車
37,窃盗,自動車盗,葛西,南葛西交番,131237,東京都,江戸川区,南葛西６丁目,2019-07-17,18,駐車（輪）場,キーあり,なし,乗用自動車
38,窃盗,自動車盗,多摩中央,矢野口交番,132250,東京都,稲城市,矢野口,2019-10-06,13,駐車（輪）場,キーあり,なし,貨物自動車
39,窃盗,自動車盗,青梅,東青梅駅前交番,132055,東京都,青梅市,新町３丁目,2019-08-20,8,道路上,キーあり,なし,なし
40,窃盗,自動車盗,青梅,新町交番,132055,東京都,青梅市,新町４丁目,2019-11-10,20,道路上,キーあり,なし,乗用自動車
41,窃盗,自動車盗,青梅,新町交番,132055,東京都,青梅市,新町５丁目,2019-04-24,14,駐車（輪）場,キーあり,なし,貨物自動車
42,窃盗,自動車盗,福生,石畑駐在所,133035,東京都,瑞穂町,大字殿ケ谷,2018-12-26,17,駐車（輪）場,キーあり,なし,乗用自動車
43,窃盗,自動車盗,八王子,小宮町駐在所,132012,東京都,八王子市,小宮町,2018-08-25,8,その他,キーあり,なし,乗用自動車
44,窃盗,自動車盗,立川,天王橋交番,132021,東京都,立川市,西砂町６丁目,2019-08-08,17,その他,キーあり,なし,乗用自動車
45,窃盗,自動車盗,府中,是政交番,132063,東京都,府中市,是政１丁目,2019-08-08,18,駐車（輪）場,キーあり,なし,乗用自動車
46,窃盗,自動車盗,府中,是政交番,132063,東京都,府中市,是政２丁目,2019-09-22,2,道路上,キーあり,あり,乗用自動車
47,窃盗,自動車盗,小金井,国分寺駅北口交番,132144,東京都,国分寺市,本町２丁目,2019-03-20,16,道路上,キーあり,あり,乗用自動車
48,窃盗,自動車盗,田無,北原町交番,132292,東京都,西東京市,北原町３丁目,2019-03-14,15,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,乗用自動車
49,窃盗,自動車盗,田無,北原町交番,132292,東京都,西東京市,西原町２丁目,2019-08-12,10,駐車（輪）場,キーあり,なし,乗用自動車
50,窃盗,自動車盗,東村山,清瀬駅前交番,132217,東京都,清瀬市,元町１丁目,2019-01-07,14,駐車（輪）場,キーあり,なし,乗用自動車
51,窃盗,自動車盗,東村山,青葉駐在所,132136,東京都,東村山市,恩多町１丁目,2018-12-29,13,その他,キーあり,なし,貨物自動車
52,窃盗,自動車盗,武蔵野,吉祥寺駅東口交番,132039,東京都,武蔵野市,吉祥寺南町２丁目,2019-07-25,22,道路上,キーあり,なし,乗用自動車
53,窃盗,自動車盗,三鷹,牟礼駐在所,132047,東京都,三鷹市,牟礼２丁目,2019-11-11,0,その他,キーあり,なし,乗用自動車
54,窃盗,自動車盗,三鷹,牟礼駐在所,132047,東京都,三鷹市,牟礼６丁目,2019-11-15,0,その他,キーあり,なし,貨物自動車
55,窃盗,自動車盗,深川,森下交番,131083,東京都,江東区,森下５丁目,2019-01-30,9,駐車（輪）場,キーなし,なし,乗用自動車
56,窃盗,自動車盗,三田,田町駅東口交番,131032,東京都,港区,芝浦４丁目,2019-08-09,23,駐車（輪）場,キーなし,なし,その他
57,窃盗,自動車盗,東京空港,第２ターミナル交番,131113,東京都,大田区,羽田空港３丁目,2019-05-10,7,その他,キーなし,なし,乗用自動車
58,窃盗,自動車盗,世田谷,若林交番,131121,東京都,世田谷区,三軒茶屋２丁目,2019-10-01,17,４階建て以上共同住宅,キーなし,なし,乗用自動車
59,窃盗,自動車盗,玉川,尾山台駅前交番,131121,東京都,世田谷区,等々力２丁目,2019-07-25,18,一戸建住宅,キーなし,あり,乗用自動車
60,窃盗,自動車盗,玉川,上野毛交番,131121,東京都,世田谷区,中町２丁目,2019-08-14,16,駐車（輪）場,キーなし,なし,乗用自動車
61,窃盗,自動車盗,代々木,初台駅前交番,131130,東京都,渋谷区,初台１丁目,2016-11-07,19,４階建て以上共同住宅,キーなし,なし,乗用自動車
62,窃盗,自動車盗,代々木,幡ケ谷駅前交番,131130,東京都,渋谷区,幡ヶ谷２丁目,2019-11-09,19,駐車（輪）場,キーなし,あり,乗用自動車
63,窃盗,自動車盗,中野,中野坂上交番,131148,東京都,中野区,中央２丁目,2019-06-07,18,駐車（輪）場,キーなし,なし,なし
64,窃盗,自動車盗,中野,東中野駅前交番,131148,東京都,中野区,東中野１丁目,2019-07-06,6,駐車（輪）場,キーなし,なし,貨物自動車
65,窃盗,自動車盗,高井戸,永福町駅前交番,131156,東京都,杉並区,和泉３丁目,2019-06-07,20,駐車（輪）場,キーなし,なし,乗用自動車
66,窃盗,自動車盗,荻窪,天沼交番,131156,東京都,杉並区,清水２丁目,2019-05-03,13,駐車（輪）場,キーなし,なし,貨物自動車
67,窃盗,自動車盗,荻窪,今川交番,131156,東京都,杉並区,今川１丁目,2019-05-25,18,駐車（輪）場,キーなし,なし,なし
68,窃盗,自動車盗,荻窪,今川交番,131156,東京都,杉並区,今川３丁目,2019-05-18,10,４階建て以上共同住宅,キーなし,なし,なし
69,窃盗,自動車盗,板橋,平尾交番,131199,東京都,板橋区,板橋２丁目,2019-10-18,21,その他,キーなし,なし,貨物自動車
70,窃盗,自動車盗,板橋,茂呂交番,131199,東京都,板橋区,小茂根３丁目,2019-10-19,17,駐車（輪）場,キーなし,なし,貨物自動車
71,窃盗,自動車盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北５丁目,2019-05-01,22,駐車（輪）場,キーなし,あり,乗用自動車
72,窃盗,自動車盗,石神井,大泉学園交番,131202,東京都,練馬区,大泉学園町７丁目,2019-01-21,18,一戸建住宅,キーなし,あり,乗用自動車
73,窃盗,自動車盗,石神井,西大泉交番,131202,東京都,練馬区,西大泉２丁目,2019-09-27,23,駐車（輪）場,キーなし,なし,貨物自動車
74,窃盗,自動車盗,高島平,高島平駅前交番,131199,東京都,板橋区,高島平３丁目,2019-12-04,18,一戸建住宅,キーなし,あり,乗用自動車
75,窃盗,自動車盗,光が丘,谷原交番,131202,東京都,練馬区,高松３丁目,2018-12-23,17,駐車（輪）場,キーなし,なし,乗用自動車
76,窃盗,自動車盗,浅草,聖天町交番,131067,東京都,台東区,浅草５丁目,2019-04-14,11,駐車（輪）場,キーなし,なし,乗用自動車
77,窃盗,自動車盗,千住,桜木町交番,131211,東京都,足立区,千住元町,2019-05-15,5,道路上,キーなし,あり,乗用自動車
78,窃盗,自動車盗,西新井,西新井駅前交番,131211,東京都,足立区,西新井栄町３丁目,2019-12-01,11,駐車（輪）場,キーなし,なし,貨物自動車
79,窃盗,自動車盗,西新井,西新井五丁目交番,131211,東京都,足立区,西新井４丁目,2019-12-03,21,駐車（輪）場,キーなし,なし,乗用自動車
80,窃盗,自動車盗,西新井,西新井五丁目交番,131211,東京都,足立区,西新井５丁目,2019-11-04,12,駐車（輪）場,キーなし,なし,乗用自動車
81,窃盗,自動車盗,綾瀬,綾瀬駅西口交番,131211,東京都,足立区,綾瀬１丁目,2019-05-30,15,駐車（輪）場,キーなし,なし,なし
82,窃盗,自動車盗,綾瀬,弘道交番,131211,東京都,足立区,青井４丁目,2019-05-05,19,駐車（輪）場,キーなし,あり,貨物自動車
83,窃盗,自動車盗,綾瀬,神明交番,131211,東京都,足立区,六木４丁目,2019-12-03,18,駐車（輪）場,キーなし,なし,乗用自動車
84,窃盗,自動車盗,綾瀬,東和交番,131211,東京都,足立区,東和４丁目,2019-11-05,16,駐車（輪）場,キーなし,なし,乗用自動車
85,窃盗,自動車盗,竹の塚,花畑北駐在所,131211,東京都,足立区,花畑６丁目,2019-12-10,18,一戸建住宅,キーなし,あり,乗用自動車
86,窃盗,自動車盗,竹の塚,花畑交番,131211,東京都,足立区,花畑３丁目,2019-02-10,19,駐車（輪）場,キーなし,あり,乗用自動車
87,窃盗,自動車盗,竹の塚,西保木間交番,131211,東京都,足立区,保木間５丁目,2019-12-04,2,一戸建住宅,キーなし,あり,乗用自動車
88,窃盗,自動車盗,竹の塚,伊興町交番,131211,東京都,足立区,西竹の塚１丁目,2019-04-28,1,一戸建住宅,キーなし,あり,乗用自動車
89,窃盗,自動車盗,竹の塚,見沼代親水公園駅前交番,131211,東京都,足立区,舎人１丁目,2019-06-11,18,駐車（輪）場,キーなし,あり,乗用自動車
90,窃盗,自動車盗,竹の塚,古千谷駐在所,131211,東京都,足立区,西伊興１丁目,2019-12-10,23,その他の住宅（３階建て以下共同住宅等）,キーなし,あり,乗用自動車
91,窃盗,自動車盗,城東,亀戸交番,131083,東京都,江東区,亀戸７丁目,2019-09-10,17,４階建て以上共同住宅,キーなし,なし,乗用自動車
92,窃盗,自動車盗,本所,江東橋交番,131075,東京都,墨田区,緑３丁目,2018-12-28,18,駐車（輪）場,キーなし,なし,貨物自動車
93,窃盗,自動車盗,亀有,金町駅南口交番,131229,東京都,葛飾区,金町６丁目,2019-12-05,21,駐車（輪）場,キーなし,なし,乗用自動車
94,窃盗,自動車盗,亀有,水元駐在所,131229,東京都,葛飾区,南水元２丁目,2019-12-28,23,駐車（輪）場,キーなし,あり,乗用自動車
95,窃盗,自動車盗,小松川,東瑞江交番,131237,東京都,江戸川区,江戸川２丁目,2019-02-16,17,駐車（輪）場,キーなし,なし,乗用自動車
96,窃盗,自動車盗,小松川,篠崎駅前交番,131237,東京都,江戸川区,篠崎町２丁目,2019-08-05,6,駐車（輪）場,キーなし,なし,乗用自動車
97,窃盗,自動車盗,小岩,南小岩交番,131237,東京都,江戸川区,北篠崎２丁目,2019-11-24,0,駐車（輪）場,キーなし,なし,貨物自動車
98,窃盗,自動車盗,小岩,鹿骨交番,131237,東京都,江戸川区,上篠崎３丁目,2019-02-07,21,一戸建住宅,キーなし,あり,その他
99,窃盗,自動車盗,葛西,葛西駅前交番,131237,東京都,江戸川区,中葛西８丁目,2019-03-05,16,駐車（輪）場,キーなし,なし,貨物自動車
100,窃盗,自動車盗,葛西,葛西駅前交番,131237,東京都,江戸川区,東葛西６丁目,2019-10-28,5,４階建て以上共同住宅,キーなし,あり,乗用自動車
101,窃盗,自動車盗,南大沢,みなみ野交番,132012,東京都,八王子市,片倉町,2019-01-09,11,その他,キーなし,あり,乗用自動車
102,窃盗,自動車盗,南大沢,小山駐在所,132098,東京都,町田市,小山町,2019-09-10,22,駐車（輪）場,キーなし,なし,貨物自動車
103,窃盗,自動車盗,南大沢,小山駐在所,132098,東京都,町田市,小山町,2019-09-11,22,駐車（輪）場,キーなし,なし,貨物自動車
104,窃盗,自動車盗,高尾,高尾駅前交番,132012,東京都,八王子市,狭間町,2019-04-19,17,４階建て以上共同住宅,キーなし,なし,乗用自動車
105,窃盗,自動車盗,高尾,東浅川駐在所,132012,東京都,八王子市,東浅川町,2019-10-05,12,駐車（輪）場,キーなし,なし,乗用自動車
106,窃盗,自動車盗,高尾,西浅川駐在所,132012,東京都,八王子市,下恩方町,2019-06-16,22,一戸建住宅,キーなし,なし,乗用自動車
107,窃盗,自動車盗,多摩中央,大丸交番,132250,東京都,稲城市,大丸,2019-09-09,15,駐車（輪）場,キーなし,なし,貨物自動車
108,窃盗,自動車盗,青梅,今寺駐在所,132055,東京都,青梅市,今寺４丁目,2019-04-16,1,一戸建住宅,キーなし,あり,乗用自動車
109,窃盗,自動車盗,青梅,沢井駐在所,132055,東京都,青梅市,沢井３丁目,2019-03-04,9,駐車（輪）場,キーなし,なし,乗用自動車
110,窃盗,自動車盗,五日市,平井駐在所,133051,東京都,日の出町,大字平井,2019-04-01,6,一戸建住宅,キーなし,なし,乗用自動車
111,窃盗,自動車盗,福生,横田交番,132187,東京都,福生市,大字福生,2019-04-20,21,駐車（輪）場,キーなし,なし,貨物自動車
112,窃盗,自動車盗,八王子,八王子駅北口交番,132012,東京都,八王子市,明神町４丁目,2019-10-21,18,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,その他
113,窃盗,自動車盗,八王子,大和田交番,132012,東京都,八王子市,大和田町４丁目,2019-03-09,19,駐車（輪）場,キーなし,なし,乗用自動車
114,窃盗,自動車盗,八王子,宮下駐在所,132012,東京都,八王子市,宮下町,2019-02-05,22,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,貨物自動車
115,窃盗,自動車盗,町田,鶴間交番,132098,東京都,町田市,鶴間７丁目,2019-06-09,18,駐車（輪）場,キーなし,なし,乗用自動車
116,窃盗,自動車盗,町田,真光寺駐在所,132098,東京都,町田市,真光寺１丁目,2019-10-20,17,一戸建住宅,キーなし,なし,乗用自動車
117,窃盗,自動車盗,日野,高幡不動駅南口交番,132128,東京都,日野市,石田１丁目,2019-01-01,10,その他,キーなし,なし,貨物自動車
118,窃盗,自動車盗,日野,百草園交番,132128,東京都,日野市,落川,2019-08-27,18,駐車（輪）場,キーなし,なし,貨物自動車
119,窃盗,自動車盗,日野,百草園交番,132128,東京都,日野市,百草,2019-08-20,20,駐車（輪）場,キーなし,なし,なし
120,窃盗,自動車盗,昭島,玉川駐在所,132071,東京都,昭島市,朝日町３丁目,2019-10-30,19,道路上,キーなし,なし,乗用自動車
121,窃盗,自動車盗,府中,大国魂交番,132063,東京都,府中市,緑町２丁目,2019-10-11,23,一戸建住宅,キーなし,あり,貨物自動車
