,罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金以外の主な被害品
31,窃盗,部品ねらい,万世橋,美倉橋交番,131016.0,東京都,千代田区,神田佐久間町３丁目,2021/5/31,12,その他,その他,その他
32,窃盗,部品ねらい,久松,問屋橋交番,131024.0,東京都,中央区,日本橋人形町１丁目,2021/6/1,16,４階建て以上共同住宅,駐車（輪）場,その他
33,窃盗,部品ねらい,久松,箱崎交番,131024.0,東京都,中央区,日本橋箱崎町,2021/6/8,9,その他,駐車（輪）場,ナンバープレート
34,窃盗,部品ねらい,築地,新富町交番,131024.0,東京都,中央区,明石町,2021/4/16,19,駐車（輪）場,駐車（輪）場,ナンバープレート
35,窃盗,部品ねらい,築地,湊交番,131024.0,東京都,中央区,湊２丁目,2021/11/13,13,４階建て以上共同住宅,駐車（輪）場,タイヤ・ホイール
36,窃盗,部品ねらい,築地,銀座八丁目交番,131024.0,東京都,中央区,銀座７丁目,2021/9/27,10,駐車（輪）場,駐車（輪）場,ナンバープレート
37,窃盗,部品ねらい,月島,佃交番,131024.0,東京都,中央区,月島１丁目,2021/1/6,20,一戸建住宅,その他,その他
38,窃盗,部品ねらい,愛宕,新橋三丁目交番,131032.0,東京都,港区,西新橋２丁目,2021/3/25,16,駐車（輪）場,駐車（輪）場,その他
39,窃盗,部品ねらい,愛宕,新橋駅前交番,131032.0,東京都,港区,新橋２丁目,2021/1/5,23,道路上,その他,ナンバープレート
40,窃盗,部品ねらい,愛宕,東京タワー前交番,131032.0,東京都,港区,芝公園４丁目,2021/1/6,20,その他,駐車（輪）場,その他
41,窃盗,部品ねらい,愛宕,東新橋交番,131032.0,東京都,港区,東新橋２丁目,2021/4/16,22,その他,駐車（輪）場,ナンバープレート
42,窃盗,部品ねらい,三田,田町駅東口交番,131032.0,東京都,港区,芝浦２丁目,2021/2/16,21,道路上,その他,その他
43,窃盗,部品ねらい,三田,田町駅東口交番,131032.0,東京都,港区,芝浦２丁目,2021/4/12,21,道路上,その他,その他
44,窃盗,部品ねらい,三田,田町駅東口交番,131032.0,東京都,港区,芝浦４丁目,2021/1/19,3,その他,駐車（輪）場,ナンバープレート
45,窃盗,部品ねらい,三田,田町駅東口交番,131032.0,東京都,港区,芝浦４丁目,2021/12/25,21,道路上,その他,その他
46,窃盗,部品ねらい,高輪,白金三光町交番,131032.0,東京都,港区,白金３丁目,2021/11/23,18,一戸建住宅,駐車（輪）場,その他
47,窃盗,部品ねらい,高輪,白金三光町交番,131032.0,東京都,港区,白金５丁目,2021/3/25,16,４階建て以上共同住宅,駐車（輪）場,その他
48,窃盗,部品ねらい,高輪,白金三光町交番,131032.0,東京都,港区,白金６丁目,2021/1/18,22,道路上,その他,その他
49,窃盗,部品ねらい,高輪,高輪台交番,131032.0,東京都,港区,白金台２丁目,2021/6/12,20,駐車（輪）場,駐車（輪）場,その他
50,窃盗,部品ねらい,麻布,六本木六丁目交番,131032.0,東京都,港区,六本木６丁目,2021/5/24,15,駐車（輪）場,駐車（輪）場,その他
51,窃盗,部品ねらい,麻布,六本木六丁目交番,131032.0,東京都,港区,六本木７丁目,2021/4/25,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
52,窃盗,部品ねらい,赤坂,赤坂五丁目交番,131032.0,東京都,港区,虎ノ門２丁目,2021/7/10,6,駐車（輪）場,駐車（輪）場,その他
53,窃盗,部品ねらい,赤坂,赤坂見附交番,131032.0,東京都,港区,元赤坂１丁目,2021/6/23,9,その他,その他,その他
54,窃盗,部品ねらい,赤坂,青山一丁目交番,131032.0,東京都,港区,北青山３丁目,2021/3/16,13,道路上,その他,その他
55,窃盗,部品ねらい,赤坂,青山一丁目交番,131032.0,東京都,港区,南青山２丁目,2021/8/19,7,その他,その他,ナンバープレート
56,窃盗,部品ねらい,東京湾岸,お台場海浜公園駅前交番,131032.0,東京都,港区,台場１丁目,2021/2/13,17,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
57,窃盗,部品ねらい,東京湾岸,お台場海浜公園駅前交番,131083.0,東京都,江東区,海の森２丁目,2021/10/12,17,その他,その他,その他
58,窃盗,部品ねらい,東京湾岸,大田市場前交番,131113.0,東京都,大田区,城南島４丁目,2021/7/16,20,その他,駐車（輪）場,その他
59,窃盗,部品ねらい,東京湾岸,大田市場前交番,131113.0,東京都,大田区,東海３丁目,2021/11/16,6,その他,その他,ナンバープレート
60,窃盗,部品ねらい,東京湾岸,新木場駅前交番,131083.0,東京都,江東区,新木場３丁目,2021/6/29,18,道路上,その他,ナンバープレート
61,窃盗,部品ねらい,東京湾岸,第五台場交番,131091.0,東京都,品川区,八潮３丁目,2021/9/12,4,駐車（輪）場,駐車（輪）場,ナンバープレート
62,窃盗,部品ねらい,東京湾岸,第五台場交番,131091.0,東京都,品川区,八潮３丁目,2021/12/18,19,駐車（輪）場,駐車（輪）場,ナンバープレート
63,窃盗,部品ねらい,東京湾岸,辰巳交番,131083.0,東京都,江東区,有明４丁目,2021/12/16,19,その他,駐車（輪）場,その他
64,窃盗,部品ねらい,東京湾岸,都橋交番,131083.0,東京都,江東区,有明４丁目,2021/12/17,19,その他,駐車（輪）場,その他
65,窃盗,部品ねらい,東京湾岸,都橋交番,131083.0,東京都,江東区,東雲２丁目,2021/6/11,15,４階建て以上共同住宅,その他,その他
66,窃盗,部品ねらい,東京湾岸,都橋交番,131083.0,東京都,江東区,東雲２丁目,2021/9/28,15,その他,駐車（輪）場,ナンバープレート
67,窃盗,部品ねらい,品川,三ツ木交番,131091.0,東京都,品川区,西品川２丁目,2021/3/19,18,一戸建住宅,その他,その他
68,窃盗,部品ねらい,品川,台場交番,131091.0,東京都,品川区,北品川１丁目,2021/7/27,11,その他の住宅（３階建て以下共同住宅等）,その他,その他
69,窃盗,部品ねらい,品川,台場交番,131091.0,東京都,品川区,北品川２丁目,2021/8/10,18,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
70,窃盗,部品ねらい,品川,御殿山交番,131091.0,東京都,品川区,北品川５丁目,2020/12/28,17,一戸建住宅,駐車（輪）場,その他
71,窃盗,部品ねらい,品川,青物横丁駅前交番,131091.0,東京都,品川区,東品川４丁目,2021/11/15,17,その他,駐車（輪）場,その他
72,窃盗,部品ねらい,大井,八潮団地交番,131091.0,東京都,品川区,八潮５丁目,2021/2/27,22,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
73,窃盗,部品ねらい,大井,八潮団地交番,131091.0,東京都,品川区,八潮５丁目,2021/3/16,21,４階建て以上共同住宅,駐車（輪）場,その他
74,窃盗,部品ねらい,大井,八潮団地交番,131091.0,東京都,品川区,八潮５丁目,2021/9/14,9,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
75,窃盗,部品ねらい,大井,大井町駅前交番,131091.0,東京都,品川区,大井１丁目,2021/4/2,15,駐車（輪）場,駐車（輪）場,その他
76,窃盗,部品ねらい,大井,西大井駅前交番,131091.0,東京都,品川区,西大井５丁目,2021/2/10,17,一戸建住宅,駐車（輪）場,その他
77,窃盗,部品ねらい,大井,鹿島神社前交番,131091.0,東京都,品川区,大井５丁目,2021/5/2,11,駐車（輪）場,駐車（輪）場,その他
78,窃盗,部品ねらい,大崎,五反田駅前交番,131091.0,東京都,品川区,西五反田２丁目,2021/2/24,19,４階建て以上共同住宅,駐車（輪）場,その他
79,窃盗,部品ねらい,大崎,五反田駅前交番,131091.0,東京都,品川区,東五反田１丁目,2021/4/15,17,駐車（輪）場,駐車（輪）場,その他
80,窃盗,部品ねらい,大崎,五反田駅前交番,131091.0,東京都,品川区,東五反田５丁目,2021/3/10,11,駐車（輪）場,駐車（輪）場,その他
81,窃盗,部品ねらい,大崎,五反田駅前交番,131091.0,東京都,品川区,東五反田５丁目,2021/9/14,5,その他,その他,タイヤ・ホイール
82,窃盗,部品ねらい,大崎,大崎駅前交番,131091.0,東京都,品川区,大崎３丁目,2021/1/11,20,駐車（輪）場,駐車（輪）場,その他
83,窃盗,部品ねらい,大崎,大崎駅前交番,131091.0,東京都,品川区,大崎３丁目,2021/5/3,7,４階建て以上共同住宅,駐車（輪）場,その他
84,窃盗,部品ねらい,大崎,大崎駅前交番,131091.0,東京都,品川区,大崎３丁目,2021/6/9,6,一戸建住宅,駐車（輪）場,その他
85,窃盗,部品ねらい,大崎,大崎駅前交番,131091.0,東京都,品川区,大崎３丁目,2021/6/9,11,一戸建住宅,その他,その他
86,窃盗,部品ねらい,大崎,大崎駅前交番,131091.0,東京都,品川区,大崎４丁目,2021/1/9,11,道路上,その他,タイヤ・ホイール
87,窃盗,部品ねらい,大崎,目黒駅前交番,131091.0,東京都,品川区,上大崎３丁目,2021/6/24,15,駐車（輪）場,駐車（輪）場,その他
88,窃盗,部品ねらい,大崎,目黒駅前交番,131091.0,東京都,品川区,上大崎３丁目,2021/8/27,19,駐車（輪）場,駐車（輪）場,その他
89,窃盗,部品ねらい,荏原,平塚橋交番,131091.0,東京都,品川区,荏原１丁目,2021/1/3,16,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
90,窃盗,部品ねらい,荏原,平塚橋交番,131091.0,東京都,品川区,平塚３丁目,2021/2/5,19,一戸建住宅,駐車（輪）場,その他
91,窃盗,部品ねらい,荏原,戸越交番,131091.0,東京都,品川区,戸越１丁目,2021/10/28,19,４階建て以上共同住宅,その他,その他
92,窃盗,部品ねらい,荏原,戸越交番,131091.0,東京都,品川区,戸越２丁目,2021/2/24,16,道路上,その他,その他
93,窃盗,部品ねらい,荏原,旗の台交番,131091.0,東京都,品川区,旗の台５丁目,2021/8/31,0,その他の住宅（３階建て以下共同住宅等）,その他,その他
94,窃盗,部品ねらい,荏原,武蔵小山交番,131091.0,東京都,品川区,小山１丁目,2021/4/19,18,一戸建住宅,駐車（輪）場,その他
95,窃盗,部品ねらい,荏原,武蔵小山交番,131091.0,東京都,品川区,小山１丁目,2021/10/22,18,一戸建住宅,その他,その他
96,窃盗,部品ねらい,荏原,武蔵小山交番,131091.0,東京都,品川区,小山２丁目,2021/3/3,18,一戸建住宅,駐車（輪）場,その他
97,窃盗,部品ねらい,荏原,武蔵小山交番,131091.0,東京都,品川区,小山２丁目,2021/10/21,18,一戸建住宅,駐車（輪）場,その他
98,窃盗,部品ねらい,荏原,武蔵小山交番,131091.0,東京都,品川区,小山台１丁目,2021/3/12,10,道路上,その他,その他
99,窃盗,部品ねらい,荏原,江戸見坂交番,131091.0,東京都,品川区,荏原６丁目,2021/1/3,14,一戸建住宅,駐車（輪）場,ナンバープレート
100,窃盗,部品ねらい,荏原,江戸見坂交番,131091.0,東京都,品川区,荏原６丁目,2021/3/22,16,一戸建住宅,駐車（輪）場,その他
101,窃盗,部品ねらい,荏原,源氏前交番,131091.0,東京都,品川区,中延４丁目,2021/1/7,8,その他,駐車（輪）場,タイヤ・ホイール
102,窃盗,部品ねらい,荏原,豊町交番,131091.0,東京都,品川区,戸越６丁目,2021/1/1,19,駐車（輪）場,駐車（輪）場,ナンバープレート
103,窃盗,部品ねらい,荏原,豊町交番,131091.0,東京都,品川区,豊町６丁目,2021/5/28,23,４階建て以上共同住宅,駐車（輪）場,その他
104,窃盗,部品ねらい,荏原,豊町交番,131091.0,東京都,品川区,豊町６丁目,2021/6/23,21,一戸建住宅,駐車（輪）場,その他
105,窃盗,部品ねらい,大森,大森海岸交番,131113.0,東京都,大田区,大森東１丁目,2021/4/1,7,４階建て以上共同住宅,駐車（輪）場,その他
106,窃盗,部品ねらい,大森,大森海岸交番,131113.0,東京都,大田区,大森東１丁目,2021/6/1,12,その他,駐車（輪）場,その他
107,窃盗,部品ねらい,大森,大森海岸交番,131113.0,東京都,大田区,大森東１丁目,2021/7/26,21,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
108,窃盗,部品ねらい,大森,大森海岸交番,131113.0,東京都,大田区,平和島１丁目,2021/2/18,13,その他,駐車（輪）場,その他
109,窃盗,部品ねらい,大森,大森西交番,131113.0,東京都,大田区,大森西１丁目,2021/6/29,9,４階建て以上共同住宅,駐車（輪）場,その他
110,窃盗,部品ねらい,大森,大森西交番,131113.0,東京都,大田区,大森西３丁目,2021/11/25,19,４階建て以上共同住宅,駐車（輪）場,その他
111,窃盗,部品ねらい,大森,大森西交番,131113.0,東京都,大田区,大森西５丁目,2021/5/22,16,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
112,窃盗,部品ねらい,大森,大森駅前交番,131113.0,東京都,大田区,大森北１丁目,2021/7/19,17,道路上,その他,その他
113,窃盗,部品ねらい,大森,大森駅前交番,131113.0,東京都,大田区,大森北２丁目,2021/6/10,2,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,タイヤ・ホイール
114,窃盗,部品ねらい,大森,大森駅前交番,131113.0,東京都,大田区,大森北２丁目,2021/7/24,9,その他,駐車（輪）場,その他
115,窃盗,部品ねらい,大森,大森駅前交番,131113.0,東京都,大田区,大森北４丁目,2021/5/16,1,道路上,その他,タイヤ・ホイール
116,窃盗,部品ねらい,大森,山王交番,131113.0,東京都,大田区,山王１丁目,2021/10/17,18,一戸建住宅,駐車（輪）場,その他
117,窃盗,部品ねらい,大森,山王交番,131113.0,東京都,大田区,山王２丁目,2021/10/17,16,一戸建住宅,駐車（輪）場,その他
118,窃盗,部品ねらい,大森,山王交番,131113.0,東京都,大田区,山王２丁目,2021/10/19,17,一戸建住宅,駐車（輪）場,その他
119,窃盗,部品ねらい,大森,山王交番,131113.0,東京都,大田区,山王３丁目,2021/4/20,20,４階建て以上共同住宅,駐車（輪）場,その他
120,窃盗,部品ねらい,大森,春日橋交番,131113.0,東京都,大田区,中央１丁目,2021/2/10,19,４階建て以上共同住宅,その他,その他
121,窃盗,部品ねらい,大森,春日橋交番,131113.0,東京都,大田区,中央３丁目,2021/11/13,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
122,窃盗,部品ねらい,大森,森ケ崎交番,131113.0,東京都,大田区,大森東３丁目,2021/2/1,21,道路上,その他,タイヤ・ホイール
123,窃盗,部品ねらい,大森,森ケ崎交番,131113.0,東京都,大田区,大森南２丁目,2021/10/12,1,４階建て以上共同住宅,駐車（輪）場,その他
124,窃盗,部品ねらい,大森,森ケ崎交番,131113.0,東京都,大田区,大森南２丁目,2021/10/29,12,一戸建住宅,その他,ナンバープレート
125,窃盗,部品ねらい,大森,森ケ崎交番,131113.0,東京都,大田区,大森南３丁目,2021/7/12,18,道路上,その他,ナンバープレート
126,窃盗,部品ねらい,大森,森ケ崎交番,131113.0,東京都,大田区,大森南５丁目,2021/1/28,15,その他,駐車（輪）場,ナンバープレート
127,窃盗,部品ねらい,大森,谷戸交番,131113.0,東京都,大田区,大森中１丁目,2021/7/23,16,駐車（輪）場,駐車（輪）場,ナンバープレート
128,窃盗,部品ねらい,大森,谷戸交番,131113.0,東京都,大田区,大森中２丁目,2021/2/27,20,４階建て以上共同住宅,駐車（輪）場,その他
129,窃盗,部品ねらい,大森,谷戸交番,131113.0,東京都,大田区,大森西３丁目,2021/6/9,17,４階建て以上共同住宅,駐車（輪）場,その他
130,窃盗,部品ねらい,田園調布,小池駐在所,131113.0,東京都,大田区,上池台１丁目,2021/1/10,16,一戸建住宅,駐車（輪）場,その他
131,窃盗,部品ねらい,田園調布,小池駐在所,131113.0,東京都,大田区,上池台３丁目,2021/6/17,15,一戸建住宅,駐車（輪）場,その他
132,窃盗,部品ねらい,田園調布,小池駐在所,131113.0,東京都,大田区,上池台４丁目,2021/6/17,17,一戸建住宅,その他,その他
133,窃盗,部品ねらい,田園調布,嶺駐在所,131113.0,東京都,大田区,雪谷大塚町,2021/11/12,17,駐車（輪）場,駐車（輪）場,その他
134,窃盗,部品ねらい,田園調布,洗足池交番,131113.0,東京都,大田区,上池台１丁目,2021/6/18,3,一戸建住宅,その他,その他
135,窃盗,部品ねらい,田園調布,洗足池交番,131113.0,東京都,大田区,上池台２丁目,2021/6/8,18,一戸建住宅,その他,その他
136,窃盗,部品ねらい,田園調布,石川台交番,131113.0,東京都,大田区,東雪谷３丁目,2021/7/31,16,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
137,窃盗,部品ねらい,田園調布,道々橋交番,131113.0,東京都,大田区,仲池上１丁目,2021/7/12,18,駐車（輪）場,駐車（輪）場,ナンバープレート
138,窃盗,部品ねらい,田園調布,道々橋交番,131113.0,東京都,大田区,東雪谷５丁目,2021/3/21,19,その他の住宅（３階建て以下共同住宅等）,その他,その他
139,窃盗,部品ねらい,田園調布,道々橋交番,131113.0,東京都,大田区,南雪谷５丁目,2021/3/30,20,駐車（輪）場,駐車（輪）場,その他
140,窃盗,部品ねらい,田園調布,道々橋交番,131113.0,東京都,大田区,南雪谷５丁目,2021/4/6,20,駐車（輪）場,駐車（輪）場,その他
141,窃盗,部品ねらい,田園調布,道々橋交番,131113.0,東京都,大田区,南雪谷５丁目,2021/6/17,20,その他,駐車（輪）場,その他
142,窃盗,部品ねらい,田園調布,鵜の木駅前交番,131113.0,東京都,大田区,鵜の木２丁目,2021/2/7,18,一戸建住宅,駐車（輪）場,その他
143,窃盗,部品ねらい,田園調布,鵜の木駅前交番,131113.0,東京都,大田区,鵜の木３丁目,2021/4/26,16,道路上,その他,その他
144,窃盗,部品ねらい,蒲田,京急蒲田駅前交番,131113.0,東京都,大田区,蒲田３丁目,2021/8/8,14,一戸建住宅,駐車（輪）場,その他
145,窃盗,部品ねらい,蒲田,京急蒲田駅前交番,131113.0,東京都,大田区,東蒲田２丁目,2021/2/6,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
146,窃盗,部品ねらい,蒲田,京急蒲田駅前交番,131113.0,東京都,大田区,東蒲田２丁目,2021/11/18,18,その他,その他,その他
147,窃盗,部品ねらい,蒲田,北糀谷交番,131113.0,東京都,大田区,西糀谷２丁目,2021/10/18,15,４階建て以上共同住宅,駐車（輪）場,タイヤ・ホイール
148,窃盗,部品ねらい,蒲田,大鳥居交番,131113.0,東京都,大田区,本羽田３丁目,2021/6/8,19,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
149,窃盗,部品ねらい,蒲田,日の出通交番,131113.0,東京都,大田区,西糀谷４丁目,2021/1/21,16,道路上,その他,その他
150,窃盗,部品ねらい,蒲田,日の出通交番,131113.0,東京都,大田区,西糀谷４丁目,2021/11/12,7,駐車（輪）場,駐車（輪）場,その他
151,窃盗,部品ねらい,蒲田,東六郷交番,131113.0,東京都,大田区,仲六郷３丁目,2021/12/12,17,駐車（輪）場,駐車（輪）場,その他
152,窃盗,部品ねらい,蒲田,東六郷交番,131113.0,東京都,大田区,仲六郷４丁目,2021/1/10,19,駐車（輪）場,駐車（輪）場,ナンバープレート
153,窃盗,部品ねらい,蒲田,東六郷交番,131113.0,東京都,大田区,東六郷３丁目,2021/10/17,14,４階建て以上共同住宅,駐車（輪）場,その他
154,窃盗,部品ねらい,蒲田,東六郷交番,131113.0,東京都,大田区,南六郷１丁目,2021/9/26,11,４階建て以上共同住宅,駐車（輪）場,その他
155,窃盗,部品ねらい,蒲田,東六郷交番,131113.0,東京都,大田区,南六郷２丁目,2020/11/21,不明,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
156,窃盗,部品ねらい,蒲田,東六郷交番,131113.0,東京都,大田区,南六郷２丁目,2021/12/17,19,４階建て以上共同住宅,駐車（輪）場,その他
157,窃盗,部品ねらい,蒲田,東六郷交番,131113.0,東京都,大田区,南六郷３丁目,2021/7/2,21,４階建て以上共同住宅,駐車（輪）場,その他
158,窃盗,部品ねらい,蒲田,蒲田駅東口交番,131113.0,東京都,大田区,蒲田５丁目,2021/2/10,16,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
159,窃盗,部品ねらい,蒲田,蒲田駅東口交番,131113.0,東京都,大田区,蒲田本町１丁目,2021/9/26,11,４階建て以上共同住宅,駐車（輪）場,タイヤ・ホイール
160,窃盗,部品ねらい,蒲田,蒲田駅東口交番,131113.0,東京都,大田区,南蒲田１丁目,2021/6/5,8,道路上,その他,ナンバープレート
161,窃盗,部品ねらい,蒲田,蒲田駅西口交番,131113.0,東京都,大田区,蒲田５丁目,2021/4/28,19,駐車（輪）場,駐車（輪）場,その他
162,窃盗,部品ねらい,蒲田,蒲田駅西口交番,131113.0,東京都,大田区,西蒲田７丁目,2021/11/5,20,４階建て以上共同住宅,駐車（輪）場,その他
163,窃盗,部品ねらい,蒲田,蒲田駅西口交番,131113.0,東京都,大田区,西蒲田７丁目,2021/11/26,1,４階建て以上共同住宅,駐車（輪）場,その他
164,窃盗,部品ねらい,蒲田,西六郷交番,131113.0,東京都,大田区,西六郷１丁目,2021/5/15,18,４階建て以上共同住宅,駐車（輪）場,その他
165,窃盗,部品ねらい,蒲田,西六郷交番,131113.0,東京都,大田区,西六郷２丁目,2021/2/21,17,一戸建住宅,駐車（輪）場,その他
166,窃盗,部品ねらい,蒲田,西六郷交番,131113.0,東京都,大田区,南六郷２丁目,2021/6/8,16,４階建て以上共同住宅,駐車（輪）場,その他
167,窃盗,部品ねらい,蒲田,西蒲田交番,131113.0,東京都,大田区,西蒲田１丁目,2021/8/12,10,一戸建住宅,その他,その他
168,窃盗,部品ねらい,蒲田,西蒲田交番,131113.0,東京都,大田区,西蒲田１丁目,2021/10/5,17,一戸建住宅,駐車（輪）場,その他
169,窃盗,部品ねらい,蒲田,西蒲田交番,131113.0,東京都,大田区,西蒲田１丁目,2021/10/5,19,一戸建住宅,その他,その他
170,窃盗,部品ねらい,蒲田,西蒲田交番,131113.0,東京都,大田区,西蒲田４丁目,2021/11/13,22,道路上,その他,その他
171,窃盗,部品ねらい,蒲田,雑色交番,131113.0,東京都,大田区,仲六郷２丁目,2021/5/2,11,駐車（輪）場,駐車（輪）場,その他
172,窃盗,部品ねらい,池上,ガス橋交番,131113.0,東京都,大田区,下丸子２丁目,2021/1/29,10,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
173,窃盗,部品ねらい,池上,ガス橋交番,131113.0,東京都,大田区,下丸子３丁目,2021/5/29,0,道路上,その他,ナンバープレート
174,窃盗,部品ねらい,池上,ガス橋交番,131113.0,東京都,大田区,矢口１丁目,2021/10/12,8,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
175,窃盗,部品ねらい,池上,ガス橋交番,131113.0,東京都,大田区,矢口２丁目,2021/5/28,18,４階建て以上共同住宅,駐車（輪）場,その他
176,窃盗,部品ねらい,池上,三本松交番,131113.0,東京都,大田区,北馬込１丁目,2021/12/14,0,その他,駐車（輪）場,その他
177,窃盗,部品ねらい,池上,三本松交番,131113.0,東京都,大田区,北馬込１丁目,2021/12/14,16,その他,駐車（輪）場,その他
