,罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
26,窃盗,オートバイ盗,蒲田,西六郷交番,131113.0,東京都,大田区,新蒲田２丁目,2019-03-31,12,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
27,窃盗,オートバイ盗,蒲田,西六郷交番,131113.0,東京都,大田区,新蒲田２丁目,2019-09-06,07,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
28,窃盗,オートバイ盗,蒲田,東六郷交番,131113.0,東京都,大田区,東六郷３丁目,2019-05-22,21,道路上,キーあり,あり,自動二輪（50cc超）
29,窃盗,オートバイ盗,蒲田,東六郷交番,131113.0,東京都,大田区,東六郷３丁目,2019-08-09,21,その他の住宅（３階建て以下共同住宅等）,キーあり,あり,自動二輪（50cc超）
30,窃盗,オートバイ盗,蒲田,雑色交番,131113.0,東京都,大田区,東六郷２丁目,2019-02-25,11,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
31,窃盗,オートバイ盗,蒲田,大鳥居交番,131113.0,東京都,大田区,萩中３丁目,2019-02-13,07,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
32,窃盗,オートバイ盗,蒲田,大鳥居交番,131113.0,東京都,大田区,萩中３丁目,2019-02-26,12,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
33,窃盗,オートバイ盗,蒲田,大鳥居交番,131113.0,東京都,大田区,羽田４丁目,2019-02-17,17,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
34,窃盗,オートバイ盗,池上,市野倉交番,131113.0,東京都,大田区,中央５丁目,2018-11-16,08,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
35,窃盗,オートバイ盗,池上,南馬込交番,131113.0,東京都,大田区,南馬込４丁目,2019-06-03,22,４階建て以上共同住宅,キーあり,あり,自動二輪（50cc超）
36,窃盗,オートバイ盗,池上,多摩川大橋交番,131113.0,東京都,大田区,矢口３丁目,2019-03-29,06,道路上,キーあり,なし,自動二輪（50cc超）
37,窃盗,オートバイ盗,池上,千鳥交番,131113.0,東京都,大田区,矢口２丁目,2019-03-15,09,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
38,窃盗,オートバイ盗,池上,ガス橋交番,131113.0,東京都,大田区,矢口２丁目,2019-03-28,11,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
39,窃盗,オートバイ盗,世田谷,上馬交番,131121.0,東京都,世田谷区,野沢２丁目,2019-08-16,00,道路上,キーあり,なし,自動二輪（50cc超）
40,窃盗,オートバイ盗,世田谷,世田谷交番,131121.0,東京都,世田谷区,若林４丁目,2012-12-01,00,道路上,キーあり,なし,原動機付自転車（50cc以下）
41,窃盗,オートバイ盗,世田谷,世田谷交番,131121.0,東京都,世田谷区,若林４丁目,2019-02-12,12,一戸建住宅,キーあり,なし,自動二輪（50cc超）
42,窃盗,オートバイ盗,世田谷,世田谷交番,131121.0,東京都,世田谷区,若林４丁目,2019-09-06,16,その他,キーあり,なし,自動二輪（50cc超）
43,窃盗,オートバイ盗,世田谷,松ケ丘交番,131121.0,東京都,世田谷区,桜３丁目,2018-11-03,07,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
44,窃盗,オートバイ盗,北沢,羽根木交番,131121.0,東京都,世田谷区,羽根木１丁目,2018-12-01,21,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
45,窃盗,オートバイ盗,玉川,深沢交番,131121.0,東京都,世田谷区,駒沢公園,2017-10-01,不明,その他,キーあり,なし,自動二輪（50cc超）
46,窃盗,オートバイ盗,玉川,深沢交番,131121.0,東京都,世田谷区,深沢４丁目,2019-01-10,12,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
47,窃盗,オートバイ盗,玉川,桜新町交番,131121.0,東京都,世田谷区,桜新町１丁目,2019-10-23,16,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
48,窃盗,オートバイ盗,成城,成城交番,131121.0,東京都,世田谷区,成城１丁目,2019-04-23,17,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
49,窃盗,オートバイ盗,成城,烏山交番,131121.0,東京都,世田谷区,北烏山９丁目,2019-07-24,08,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
50,窃盗,オートバイ盗,成城,岡本駐在所,131121.0,東京都,世田谷区,岡本３丁目,2019-01-20,19,４階建て以上共同住宅,キーあり,あり,原動機付自転車（50cc以下）
51,窃盗,オートバイ盗,成城,鎌田駐在所,131121.0,東京都,世田谷区,宇奈根１丁目,2019-10-19,19,道路上,キーあり,なし,原動機付自転車（50cc以下）
52,窃盗,オートバイ盗,成城,喜多見駅前交番,131121.0,東京都,世田谷区,喜多見８丁目,2019-10-30,13,道路上,キーあり,なし,原動機付自転車（50cc以下）
53,窃盗,オートバイ盗,目黒,祐天寺駅前交番,131105.0,東京都,目黒区,祐天寺２丁目,2019-03-02,16,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
54,窃盗,オートバイ盗,碑文谷,本町二丁目交番,131105.0,東京都,目黒区,目黒本町３丁目,2019-05-19,03,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
55,窃盗,オートバイ盗,渋谷,恵比寿駅前交番,131130.0,東京都,渋谷区,恵比寿１丁目,2019-09-17,20,道路上,キーあり,なし,原動機付自転車（50cc以下）
56,窃盗,オートバイ盗,渋谷,鉢山交番,131130.0,東京都,渋谷区,南平台町,2019-05-14,20,その他,キーあり,なし,原動機付自転車（50cc以下）
57,窃盗,オートバイ盗,原宿,千駄ケ谷駅前交番,131130.0,東京都,渋谷区,神宮前２丁目,2019-05-04,11,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
58,窃盗,オートバイ盗,代々木,笹塚交番,131130.0,東京都,渋谷区,笹塚２丁目,2019-04-06,02,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
59,窃盗,オートバイ盗,代々木,代々木上原駅前交番,131130.0,東京都,渋谷区,西原３丁目,2019-12-05,00,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
60,窃盗,オートバイ盗,牛込,河田町交番,131041.0,東京都,新宿区,余丁町,2019-09-29,18,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
61,窃盗,オートバイ盗,新宿,北新宿一丁目交番,131041.0,東京都,新宿区,北新宿２丁目,2019-02-28,19,道路上,キーあり,なし,原動機付自転車（50cc以下）
62,窃盗,オートバイ盗,新宿,大久保交番,131041.0,東京都,新宿区,大久保１丁目,2019-05-12,21,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
63,窃盗,オートバイ盗,新宿,大久保交番,131041.0,東京都,新宿区,大久保２丁目,2018-08-01,20,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
64,窃盗,オートバイ盗,新宿,大久保交番,131041.0,東京都,新宿区,大久保２丁目,2019-09-13,15,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
65,窃盗,オートバイ盗,新宿,新宿六丁目交番,131041.0,東京都,新宿区,新宿６丁目,2019-11-17,15,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
66,窃盗,オートバイ盗,新宿,歌舞伎町交番,131041.0,東京都,新宿区,歌舞伎町１丁目,2019-06-01,18,道路上,キーあり,なし,自動二輪（50cc超）
67,窃盗,オートバイ盗,新宿,歌舞伎町交番,131041.0,東京都,新宿区,歌舞伎町２丁目,2019-04-01,13,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
68,窃盗,オートバイ盗,新宿,歌舞伎町交番,131041.0,東京都,新宿区,歌舞伎町２丁目,2019-08-21,10,道路上,キーあり,なし,原動機付自転車（50cc以下）
69,窃盗,オートバイ盗,新宿,歌舞伎町交番,131041.0,東京都,新宿区,歌舞伎町２丁目,2019-09-15,01,道路上,キーあり,なし,自動二輪（50cc超）
70,窃盗,オートバイ盗,戸塚,戸塚一丁目交番,131041.0,東京都,新宿区,西早稲田３丁目,2019-06-01,16,道路上,キーあり,なし,原動機付自転車（50cc以下）
71,窃盗,オートバイ盗,戸塚,高田馬場駅前交番,131041.0,東京都,新宿区,高田馬場１丁目,2019-01-31,08,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
72,窃盗,オートバイ盗,戸塚,下落合駅前交番,131041.0,東京都,新宿区,上落合１丁目,2019-11-29,15,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
73,窃盗,オートバイ盗,中野,早稲田通交番,131148.0,東京都,中野区,中野１丁目,2019-03-04,15,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
74,窃盗,オートバイ盗,中野,中野駅前交番,131148.0,東京都,中野区,中野５丁目,2019-12-02,16,道路上,キーあり,なし,原動機付自転車（50cc以下）
75,窃盗,オートバイ盗,中野,鍋屋横丁交番,131148.0,東京都,中野区,本町３丁目,2019-10-25,13,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
76,窃盗,オートバイ盗,中野,中央五丁目交番,131148.0,東京都,中野区,本町４丁目,2017-03-01,12,道路上,キーあり,なし,自動二輪（50cc超）
77,窃盗,オートバイ盗,野方,上高田交番,131148.0,東京都,中野区,上高田１丁目,2019-11-17,21,道路上,キーあり,なし,自動二輪（50cc超）
78,窃盗,オートバイ盗,杉並,東田町交番,131156.0,東京都,杉並区,阿佐谷南１丁目,2019-07-02,07,道路上,キーあり,なし,自動二輪（50cc超）
79,窃盗,オートバイ盗,杉並,堀ノ内交番,131156.0,東京都,杉並区,堀ノ内３丁目,2019-08-18,17,一戸建住宅,キーあり,なし,自動二輪（50cc超）
80,窃盗,オートバイ盗,杉並,高円寺南四丁目交番,131156.0,東京都,杉並区,高円寺南５丁目,2019-03-31,09,道路上,キーあり,なし,自動二輪（50cc超）
81,窃盗,オートバイ盗,杉並,高円寺駅前交番,131156.0,東京都,杉並区,高円寺南３丁目,2019-07-09,14,その他,キーあり,なし,自動二輪（50cc超）
82,窃盗,オートバイ盗,杉並,成宗交番,131156.0,東京都,杉並区,阿佐谷南３丁目,2019-08-12,18,道路上,キーあり,なし,原動機付自転車（50cc以下）
83,窃盗,オートバイ盗,杉並,成田交番,131156.0,東京都,杉並区,松ノ木３丁目,2019-04-25,19,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
84,窃盗,オートバイ盗,本富士,根津交番,131059.0,東京都,文京区,根津２丁目,2019-01-26,02,道路上,キーあり,なし,自動二輪（50cc超）
85,窃盗,オートバイ盗,巣鴨,大塚駅前交番,131164.0,東京都,豊島区,北大塚２丁目,2019-04-04,14,道路上,キーあり,なし,自動二輪（50cc超）
86,窃盗,オートバイ盗,巣鴨,巣鴨新田交番,131164.0,東京都,豊島区,上池袋１丁目,2018-10-20,17,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
87,窃盗,オートバイ盗,巣鴨,巣鴨新田交番,131164.0,東京都,豊島区,上池袋１丁目,2019-03-21,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
88,窃盗,オートバイ盗,池袋,池袋駅西口交番,131164.0,東京都,豊島区,西池袋１丁目,2019-09-21,13,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
89,窃盗,オートバイ盗,池袋,川越通交番,131164.0,東京都,豊島区,池袋２丁目,2019-05-24,17,道路上,キーあり,あり,自動二輪（50cc超）
90,窃盗,オートバイ盗,目白,目白駅前交番,131164.0,東京都,豊島区,西池袋２丁目,2019-01-11,21,一戸建住宅,キーあり,なし,自動二輪（50cc超）
91,窃盗,オートバイ盗,目白,椎名町駅前交番,131164.0,東京都,豊島区,千早２丁目,2019-05-21,21,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
92,窃盗,オートバイ盗,目白,南長崎交番,131164.0,東京都,豊島区,南長崎２丁目,2019-10-13,04,道路上,キーあり,なし,原動機付自転車（50cc以下）
93,窃盗,オートバイ盗,目白,千川交番,131164.0,東京都,豊島区,千川２丁目,2019-04-28,09,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
94,窃盗,オートバイ盗,王子,豊島五丁目駐在所,131172.0,東京都,北区,豊島５丁目,2019-03-27,02,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
95,窃盗,オートバイ盗,王子,東十条交番,131172.0,東京都,北区,東十条５丁目,2019-08-29,13,道路上,キーあり,なし,原動機付自転車（50cc以下）
96,窃盗,オートバイ盗,王子,中十条交番,131172.0,東京都,北区,王子６丁目,2018-09-10,12,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
97,窃盗,オートバイ盗,赤羽,岩淵交番,131172.0,東京都,北区,岩淵町,2019-07-11,06,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
98,窃盗,オートバイ盗,赤羽,宮堀交番,131172.0,東京都,北区,神谷３丁目,2019-10-01,06,道路上,キーあり,なし,原動機付自転車（50cc以下）
99,窃盗,オートバイ盗,赤羽,浮間交番,131172.0,東京都,北区,浮間１丁目,2019-04-08,17,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
100,窃盗,オートバイ盗,赤羽,浮間交番,131172.0,東京都,北区,浮間３丁目,2019-04-11,17,道路上,キーあり,あり,自動二輪（50cc超）
101,窃盗,オートバイ盗,板橋,板橋本町交番,131199.0,東京都,板橋区,仲宿,2019-07-08,18,一戸建住宅,キーあり,なし,自動二輪（50cc超）
102,窃盗,オートバイ盗,板橋,熊野町交番,131199.0,東京都,板橋区,南町,2019-09-25,12,道路上,キーあり,なし,原動機付自転車（50cc以下）
103,窃盗,オートバイ盗,板橋,茂呂交番,131199.0,東京都,板橋区,小茂根２丁目,2019-05-18,23,道路上,キーあり,なし,原動機付自転車（50cc以下）
104,窃盗,オートバイ盗,板橋,常盤台交番,131199.0,東京都,板橋区,常盤台１丁目,2019-01-27,18,道路上,キーあり,なし,原動機付自転車（50cc以下）
105,窃盗,オートバイ盗,板橋,上板橋駅前交番,131199.0,東京都,板橋区,上板橋１丁目,2019-12-16,18,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
106,窃盗,オートバイ盗,志村,清水町交番,131199.0,東京都,板橋区,泉町,2019-10-23,20,その他,キーあり,なし,原動機付自転車（50cc以下）
107,窃盗,オートバイ盗,志村,坂上交番,131199.0,東京都,板橋区,坂下１丁目,2019-04-26,17,道路上,キーあり,なし,自動二輪（50cc超）
108,窃盗,オートバイ盗,志村,蓮根交番,131199.0,東京都,板橋区,相生町,2018-10-24,14,道路上,キーあり,なし,自動二輪（50cc超）
109,窃盗,オートバイ盗,志村,前野町交番,131199.0,東京都,板橋区,前野町３丁目,2019-07-26,19,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
110,窃盗,オートバイ盗,志村,中台交番,131199.0,東京都,板橋区,中台３丁目,2019-07-29,20,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
111,窃盗,オートバイ盗,志村,西台交番,131199.0,東京都,板橋区,西台２丁目,2019-05-04,00,一戸建住宅,キーあり,なし,自動二輪（50cc超）
112,窃盗,オートバイ盗,練馬,練馬駅前交番,131202.0,東京都,練馬区,豊玉北５丁目,2019-10-24,14,道路上,キーあり,なし,原動機付自転車（50cc以下）
113,窃盗,オートバイ盗,練馬,練馬駅前交番,131202.0,東京都,練馬区,中村北１丁目,2019-02-01,不明,その他の住宅（３階建て以下共同住宅等）,キーあり,あり,自動二輪（50cc超）
114,窃盗,オートバイ盗,練馬,羽沢交番,131202.0,東京都,練馬区,氷川台３丁目,2019-11-30,10,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
115,窃盗,オートバイ盗,練馬,江古田駅前交番,131202.0,東京都,練馬区,旭丘１丁目,2019-02-14,10,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
116,窃盗,オートバイ盗,練馬,江古田駅前交番,131202.0,東京都,練馬区,旭丘１丁目,2019-04-16,10,その他,キーあり,なし,原動機付自転車（50cc以下）
117,窃盗,オートバイ盗,練馬,春日町交番,131202.0,東京都,練馬区,春日町２丁目,2019-01-25,18,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
118,窃盗,オートバイ盗,練馬,春日町交番,131202.0,東京都,練馬区,春日町２丁目,2019-04-07,19,道路上,キーあり,なし,自動二輪（50cc超）
119,窃盗,オートバイ盗,練馬,早宮交番,131202.0,東京都,練馬区,氷川台２丁目,2019-03-20,18,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
120,窃盗,オートバイ盗,練馬,氷川神社前交番,131202.0,東京都,練馬区,豊玉南２丁目,2019-04-25,07,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
121,窃盗,オートバイ盗,石神井,東大泉駐在所,131202.0,東京都,練馬区,東大泉２丁目,2019-10-21,08,その他,キーあり,なし,原動機付自転車（50cc以下）
122,窃盗,オートバイ盗,高島平,高島平駅前交番,131199.0,東京都,板橋区,高島平１丁目,2019-06-27,17,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
123,窃盗,オートバイ盗,高島平,高島平駅前交番,131199.0,東京都,板橋区,高島平２丁目,2019-02-24,14,道路上,キーあり,なし,自動二輪（50cc超）
124,窃盗,オートバイ盗,高島平,高島平駅前交番,131199.0,東京都,板橋区,高島平３丁目,2019-04-16,07,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
125,窃盗,オートバイ盗,高島平,西台駅前交番,131199.0,東京都,板橋区,高島平９丁目,2017-12-10,不明,４階建て以上共同住宅,キーあり,あり,原動機付自転車（50cc以下）
126,窃盗,オートバイ盗,高島平,笹目橋交番,131199.0,東京都,板橋区,三園１丁目,2019-02-26,00,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
127,窃盗,オートバイ盗,高島平,北野交番,131199.0,東京都,板橋区,徳丸２丁目,2019-10-20,19,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
128,窃盗,オートバイ盗,高島平,下赤塚交番,131199.0,東京都,板橋区,赤塚新町２丁目,2014-01-01,不明,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
129,窃盗,オートバイ盗,高島平,下赤塚交番,131199.0,東京都,板橋区,赤塚新町３丁目,2019-06-05,15,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
130,窃盗,オートバイ盗,高島平,下赤塚交番,131199.0,東京都,板橋区,赤塚新町３丁目,2019-12-15,05,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
131,窃盗,オートバイ盗,高島平,上赤塚交番,131199.0,東京都,板橋区,成増５丁目,2013-05-01,13,駐車（輪）場,キーあり,あり,原動機付自転車（50cc以下）
132,窃盗,オートバイ盗,光が丘,光が丘三丁目交番,131202.0,東京都,練馬区,高松５丁目,2019-06-23,06,道路上,キーあり,なし,自動二輪（50cc超）
133,窃盗,オートバイ盗,光が丘,練馬高野台駅前交番,131202.0,東京都,練馬区,富士見台２丁目,2019-01-08,00,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
134,窃盗,オートバイ盗,光が丘,練馬高野台駅前交番,131202.0,東京都,練馬区,南田中３丁目,2019-03-28,18,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
135,窃盗,オートバイ盗,光が丘,谷原交番,131202.0,東京都,練馬区,高野台２丁目,2019-01-19,13,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
136,窃盗,オートバイ盗,光が丘,谷原交番,131202.0,東京都,練馬区,高野台５丁目,2019-12-16,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
137,窃盗,オートバイ盗,光が丘,谷原交番,131202.0,東京都,練馬区,富士見台４丁目,2019-01-20,09,一戸建住宅,キーあり,なし,自動二輪（50cc超）
138,窃盗,オートバイ盗,光が丘,谷原交番,131202.0,東京都,練馬区,谷原２丁目,2018-12-30,17,４階建て以上共同住宅,キーあり,あり,原動機付自転車（50cc以下）
139,窃盗,オートバイ盗,上野,御徒町交番,131067.0,東京都,台東区,東上野２丁目,2019-04-06,09,道路上,キーあり,なし,原動機付自転車（50cc以下）
140,窃盗,オートバイ盗,下谷,三ノ輪交番,131067.0,東京都,台東区,根岸５丁目,2018-12-22,22,道路上,キーあり,なし,原動機付自転車（50cc以下）
141,窃盗,オートバイ盗,下谷,谷中交番,131067.0,東京都,台東区,池之端４丁目,2019-03-10,12,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
142,窃盗,オートバイ盗,浅草,雷門交番,131067.0,東京都,台東区,雷門１丁目,2019-09-14,20,道路上,キーあり,なし,自動二輪（50cc超）
143,窃盗,オートバイ盗,浅草,雷門交番,131067.0,東京都,台東区,雷門２丁目,2019-08-31,07,道路上,キーあり,なし,自動二輪（50cc超）
144,窃盗,オートバイ盗,蔵前,須賀橋交番,131067.0,東京都,台東区,浅草橋５丁目,2019-05-17,17,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
145,窃盗,オートバイ盗,尾久,尾竹橋交番,131181.0,東京都,荒川区,町屋６丁目,2019-11-05,11,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
146,窃盗,オートバイ盗,尾久,西尾久交番,131181.0,東京都,荒川区,東尾久５丁目,2019-05-30,21,道路上,キーあり,なし,原動機付自転車（50cc以下）
147,窃盗,オートバイ盗,尾久,西尾久交番,131181.0,東京都,荒川区,町屋６丁目,2019-11-13,13,その他,キーあり,なし,原動機付自転車（50cc以下）
148,窃盗,オートバイ盗,南千住,南千住八丁目交番,131181.0,東京都,荒川区,南千住８丁目,2019-11-17,18,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
149,窃盗,オートバイ盗,南千住,南千住駅東口交番,131181.0,東京都,荒川区,南千住４丁目,2019-01-25,18,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
150,窃盗,オートバイ盗,荒川,町屋交番,131181.0,東京都,荒川区,町屋１丁目,2018-12-30,09,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
151,窃盗,オートバイ盗,荒川,町屋交番,131181.0,東京都,荒川区,町屋１丁目,2019-04-27,15,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
152,窃盗,オートバイ盗,荒川,町屋交番,131181.0,東京都,荒川区,町屋２丁目,2019-12-11,14,一戸建住宅,キーあり,なし,自動二輪（50cc超）
153,窃盗,オートバイ盗,荒川,町屋交番,131181.0,東京都,荒川区,町屋４丁目,2019-11-18,20,道路上,キーあり,なし,自動二輪（50cc超）
154,窃盗,オートバイ盗,千住,北千住駅西口交番,131211.0,東京都,足立区,千住３丁目,2019-02-20,19,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
155,窃盗,オートバイ盗,千住,桜木町交番,131211.0,東京都,足立区,千住元町,2019-08-24,13,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
