,区分,No,項目,被疑者（65歳未満）（N=72)(%),被疑者（65歳以上）（N=56)(%),一般（65歳以上）（N=1322）(%),被疑者間,高齢者間
18,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（8）万引きが起きるのは、社会にも原因がある,4,ややそう思う,9.0,14.8,32.9,p<0.05,p<0.01
19,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（8）万引きが起きるのは、社会にも原因がある,5,とてもそう思う,9.0,0.0,6.4,p<0.05,p<0.01
20,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（9）ほとんどの万引きは見つからない,1,まったくそう思わない,35.8,31.5,11.2,,p<0.01
21,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（9）ほとんどの万引きは見つからない,2,あまりそう思わない,22.4,24.1,32.9,,p<0.01
22,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（9）ほとんどの万引きは見つからない,3,どちらともいえない,34.3,35.2,35.4,,p<0.01
23,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（9）ほとんどの万引きは見つからない,4,ややそう思う,4.5,1.9,17.6,,p<0.01
24,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（9）ほとんどの万引きは見つからない,5,とてもそう思う,3.0,7.4,2.9,,p<0.01
25,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（10）万引きは、出来心でしてしまうものだ,1,まったくそう思わない,13.4,13.0,15.3,,p<0.01
26,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（10）万引きは、出来心でしてしまうものだ,2,あまりそう思わない,11.9,7.4,26.4,,p<0.01
27,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（10）万引きは、出来心でしてしまうものだ,3,どちらともいえない,31.3,27.8,37.9,,p<0.01
28,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（10）万引きは、出来心でしてしまうものだ,4,ややそう思う,26.9,22.2,17.6,,p<0.01
29,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（10）万引きは、出来心でしてしまうものだ,5,とてもそう思う,16.4,29.6,2.8,,p<0.01
30,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（11）気付いたら万引きをしていたということがあるものだ,1,まったくそう思わない,27.3,18.5,52.6,,p<0.01
31,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（11）気付いたら万引きをしていたということがあるものだ,2,あまりそう思わない,18.2,11.1,23.5,,p<0.01
32,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（11）気付いたら万引きをしていたということがあるものだ,3,どちらともいえない,25.8,20.4,15.5,,p<0.01
33,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（11）気付いたら万引きをしていたということがあるものだ,4,ややそう思う,15.2,27.8,7.6,,p<0.01
34,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（11）気付いたら万引きをしていたということがあるものだ,5,とてもそう思う,13.6,22.2,0.8,,p<0.01
35,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（12）お店にお金を払えば、万引きは許されると思っていた,1,まったくそう思わない,60.6,68.5,83.4,,p<0.01
36,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（12）お店にお金を払えば、万引きは許されると思っていた,2,あまりそう思わない,21.2,9.3,10.7,,p<0.01
37,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（12）お店にお金を払えば、万引きは許されると思っていた,3,どちらともいえない,9.1,7.4,3.5,,p<0.01
38,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（12）お店にお金を払えば、万引きは許されると思っていた,4,ややそう思う,4.5,13.0,1.3,,p<0.01
39,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（12）お店にお金を払えば、万引きは許されると思っていた,5,とてもそう思う,4.5,1.9,1.0,,p<0.01
40,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（13）昔なら、万引きは見つかっても警察には通報されなかった,1,まったくそう思わない,53.8,38.9,37.7,,p<0.01
41,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（13）昔なら、万引きは見つかっても警察には通報されなかった,2,あまりそう思わない,18.5,9.3,24.7,,p<0.01
42,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（13）昔なら、万引きは見つかっても警察には通報されなかった,3,どちらともいえない,23.1,38.9,22.8,,p<0.01
43,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（13）昔なら、万引きは見つかっても警察には通報されなかった,4,ややそう思う,1.5,3.7,13.0,,p<0.01
44,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（13）昔なら、万引きは見つかっても警察には通報されなかった,5,とてもそう思う,3.1,9.3,1.7,,p<0.01
