,区分,No,項目,被疑者（65歳未満）（N=72)(%),被疑者（65歳以上）（N=56)(%),一般（65歳以上）(N=1322)(%),被疑者間,高齢者間
19,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（11）どんなに腹が立っても、暴力はふるわない,5,あてはまる,56.7,53.7,56.7,,p<0.05
20,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（12）ときどき、おもしろ半分で危険をおかすことがある,1,まったくあてはまらない,43.3,61.1,55.5,,
21,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（12）ときどき、おもしろ半分で危険をおかすことがある,2,あまりあてはまらない,22.4,16.7,28.0,,
22,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（12）ときどき、おもしろ半分で危険をおかすことがある,3,どちらともいえない,14.9,9.3,8.8,,
23,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（12）ときどき、おもしろ半分で危険をおかすことがある,4,ややあてはまる,14.9,11.1,5.6,,
24,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（12）ときどき、おもしろ半分で危険をおかすことがある,5,あてはまる,4.5,1.9,2.2,,
25,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（13）安全で確実なことより、刺激のあることや冒険が好きだ,1,まったくあてはまらない,36.4,50.0,37.7,,p<0.01
26,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（13）安全で確実なことより、刺激のあることや冒険が好きだ,2,あまりあてはまらない,30.3,16.7,28.4,,p<0.01
27,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（13）安全で確実なことより、刺激のあることや冒険が好きだ,3,どちらともいえない,18.2,16.7,23.0,,p<0.01
28,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（13）安全で確実なことより、刺激のあることや冒険が好きだ,4,ややあてはまる,9.1,9.3,9.2,,p<0.01
29,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（13）安全で確実なことより、刺激のあることや冒険が好きだ,5,あてはまる,6.1,7.4,1.8,,p<0.01
30,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（14）人を怒らせたくて、その人が言うのとはわざと反対のことをすることがある,1,まったくあてはまらない,59.1,72.2,64.0,,
31,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（14）人を怒らせたくて、その人が言うのとはわざと反対のことをすることがある,2,あまりあてはまらない,24.2,22.2,24.2,,
32,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（14）人を怒らせたくて、その人が言うのとはわざと反対のことをすることがある,3,どちらともいえない,10.6,1.9,8.4,,
33,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（14）人を怒らせたくて、その人が言うのとはわざと反対のことをすることがある,4,ややあてはまる,3.0,1.9,2.3,,
34,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（14）人を怒らせたくて、その人が言うのとはわざと反対のことをすることがある,5,あてはまる,3.0,1.9,1.1,,
35,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（15）つかまらずに悪いことがどれくらいできるか、試してみたい,1,まったくあてはまらない,64.2,59.3,88.7,,p<0.01
36,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（15）つかまらずに悪いことがどれくらいできるか、試してみたい,2,あまりあてはまらない,19.4,7.4,8.0,,p<0.01
37,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（15）つかまらずに悪いことがどれくらいできるか、試してみたい,3,どちらともいえない,13.4,22.2,2.4,,p<0.01
38,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（15）つかまらずに悪いことがどれくらいできるか、試してみたい,4,ややあてはまる,3.0,7.4,0.3,,p<0.01
39,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（15）つかまらずに悪いことがどれくらいできるか、試してみたい,5,あてはまる,0.0,3.7,0.7,,p<0.01
