,区分,No,項目,被疑者（65歳未満）(N=72)(%),被疑者（65歳以上）(N=56)(%),一般（65歳以上）(N=1322)(%),被疑者間,高齢者間
20,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（5）失敗すると、一生懸命やろうと思う,1,まったくあてはまらない,9.0,11.1,2.4,,p<0.01
21,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（5）失敗すると、一生懸命やろうと思う,2,あまりあてはまらない,7.5,5.6,6.8,,p<0.01
22,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（5）失敗すると、一生懸命やろうと思う,3,どちらともいえない,28.4,27.8,27.7,,p<0.01
23,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（5）失敗すると、一生懸命やろうと思う,4,ややあてはまる,23.9,25.9,39.4,,p<0.01
24,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（5）失敗すると、一生懸命やろうと思う,5,あてはまる,31.3,29.6,23.7,,p<0.01
25,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（6）人に頼らない方だ,1,まったくあてはまらない,9.1,5.6,2.4,,p<0.05
26,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（6）人に頼らない方だ,2,あまりあてはまらない,12.1,3.7,8.1,,p<0.05
27,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（6）人に頼らない方だ,3,どちらともいえない,24.2,18.5,26.5,,p<0.05
28,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（6）人に頼らない方だ,4,ややあてはまる,24.2,25.9,34.4,,p<0.05
29,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（6）人に頼らない方だ,5,あてはまる,30.3,46.3,28.6,,p<0.05
30,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（7）人の集まりの中では、うまく振舞えない,1,まったくあてはまらない,10.6,18.5,13.1,,p<0.01
31,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（7）人の集まりの中では、うまく振舞えない,2,あまりあてはまらない,30.3,20.4,30.0,,p<0.01
32,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（7）人の集まりの中では、うまく振舞えない,3,どちらともいえない,27.3,25.9,32.7,,p<0.01
33,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（7）人の集まりの中では、うまく振舞えない,4,ややあてはまる,18.2,14.8,17.9,,p<0.01
34,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（7）人の集まりの中では、うまく振舞えない,5,あてはまる,13.6,20.4,6.3,,p<0.01
