,罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
123,窃盗,オートバイ盗,高井戸,浜田山交番,131156.0,東京都,杉並区,高井戸東３丁目,2020/10/1,不明,その他,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
124,窃盗,オートバイ盗,高井戸,浜田山交番,131156.0,東京都,杉並区,浜田山１丁目,2021/3/29,13,駐車（輪）場,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
125,窃盗,オートバイ盗,荻窪,下井草駅前交番,131156.0,東京都,杉並区,下井草２丁目,2021/4/8,21,一戸建住宅,その他,キーなし,あり,自動二輪（50cc超）
126,窃盗,オートバイ盗,荻窪,神明駐在所,131156.0,東京都,杉並区,南荻窪３丁目,2021/1/1,16,道路上,その他,キーあり,なし,自動二輪（50cc超）
127,窃盗,オートバイ盗,荻窪,神明駐在所,131156.0,東京都,杉並区,南荻窪３丁目,2021/6/25,18,その他の住宅（３階建て以下共同住宅等）,その他,キーなし,なし,自動二輪（50cc超）
128,窃盗,オートバイ盗,富坂,白山交番,131059.0,東京都,文京区,白山２丁目,2019/4/30,13,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
129,窃盗,オートバイ盗,大塚,大塚六丁目交番,131059.0,東京都,文京区,大塚４丁目,2021/4/5,20,その他,その他,キーあり,なし,原動機付自転車（50cc以下）
130,窃盗,オートバイ盗,大塚,江戸川橋交番,131059.0,東京都,文京区,関口１丁目,2021/8/12,18,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,原動機付自転車（50cc以下）
131,窃盗,オートバイ盗,駒込,団子坂交番,131059.0,東京都,文京区,千駄木３丁目,2019/8/1,17,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
132,窃盗,オートバイ盗,巣鴨,サンシャイン前交番,131164.0,東京都,豊島区,東池袋３丁目,2021/9/9,0,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
133,窃盗,オートバイ盗,巣鴨,巣鴨駅前交番,131164.0,東京都,豊島区,巣鴨３丁目,2021/3/23,9,道路上,その他,キーなし,なし,自動二輪（50cc超）
134,窃盗,オートバイ盗,巣鴨,庚申塚交番,131164.0,東京都,豊島区,西巣鴨２丁目,2021/1/22,10,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
135,窃盗,オートバイ盗,池袋,池袋二又交番,131164.0,東京都,豊島区,西池袋５丁目,2020/10/1,0,道路上,その他,キーあり,あり,自動二輪（50cc超）
136,窃盗,オートバイ盗,池袋,池袋二又交番,131164.0,東京都,豊島区,西池袋５丁目,2020/10/1,0,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,原動機付自転車（50cc以下）
137,窃盗,オートバイ盗,池袋,池袋二又交番,131164.0,東京都,豊島区,西池袋５丁目,2021/5/6,11,道路上,その他,キーあり,あり,原動機付自転車（50cc以下）
138,窃盗,オートバイ盗,目白,東長崎駅前交番,131164.0,東京都,豊島区,南長崎６丁目,2021/8/1,11,道路上,その他,キーあり,なし,自動二輪（50cc超）
139,窃盗,オートバイ盗,滝野川,滝野川一丁目交番,131172.0,東京都,北区,西ケ原４丁目,2021/4/20,0,一戸建住宅,その他,キーなし,なし,自動二輪（50cc超）
140,窃盗,オートバイ盗,滝野川,飛鳥山交番,131172.0,東京都,北区,滝野川２丁目,2021/6/7,17,道路上,その他,キーなし,なし,自動二輪（50cc超）
141,窃盗,オートバイ盗,赤羽,岩淵交番,131172.0,東京都,北区,岩淵町,2021/4/22,7,駐車（輪）場,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
142,窃盗,オートバイ盗,赤羽,浮間交番,131172.0,東京都,北区,浮間４丁目,2021/9/26,9,一戸建住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
143,窃盗,オートバイ盗,赤羽,赤羽駅前交番,131172.0,東京都,北区,赤羽１丁目,2021/9/7,9,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
