,1,"東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) ２０  司法・警察・消防 20  JUSTICE, POLICE, AND FIRE FIGHTING SERVICES",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
58,60,30,2018,42,私人間の侵犯事件,Infringement cases among private citizens,強制強要,Coercion,家族間におけるもの,Among family members,夫の妻に対するもの,From husband to wife　　　　　　　　　　　　　　,26,-,26,8,18,-,-,-,-,26,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,61,30,2018,43,私人間の侵犯事件,Infringement cases among private citizens,強制強要,Coercion,家族間におけるもの,Among family members,妻の夫に対するもの,From wife to husband 　　　　　　　　　　　　　　,5,-,5,1,4,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,62,30,2018,44,私人間の侵犯事件,Infringement cases among private citizens,強制強要,Coercion,家族間におけるもの,Among family members,親の子に対するもの,From parent to child 　　　　　　　　　　　　　　,16,-,16,9,7,-,-,-,-,16,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,63,30,2018,45,私人間の侵犯事件,Infringement cases among private citizens,強制強要,Coercion,家族間におけるもの,Among family members,子の親に対するもの,From child to parent 　　　　　　　　　　　　　　,5,-,5,2,3,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,64,30,2018,46,私人間の侵犯事件,Infringement cases among private citizens,強制強要,Coercion,家族間におけるもの,Among family members,その他,Others,10,-,10,2,8,-,-,-,-,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,65,30,2018,47,私人間の侵犯事件,Infringement cases among private citizens,強制強要,Coercion,セクシュアル・ハラスメント,Sexual harassment,,,51,-,51,27,24,-,-,-,-,49,49,-,-,-,-,-,-,-,-,-,-,-,-,-,2
64,66,30,2018,48,私人間の侵犯事件,Infringement cases among private citizens,強制強要,Coercion,ストーカー,Stalking,,,24,-,24,15,9,-,-,-,-,24,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,67,30,2018,49,私人間の侵犯事件,Infringement cases among private citizens,強制強要,Coercion,その他,Others,,,25,-,25,13,12,-,-,-,-,25,24,-,-,-,-,-,-,-,-,1,-,-,-,-,-
66,68,30,2018,50,私人間の侵犯事件,Infringement cases among private citizens,組織，多衆の圧力による侵犯,Infringement by organizations or pressure of the masses,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,69,30,2018,51,私人間の侵犯事件,Infringement cases among private citizens,交通事故,Traffic accidents,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,70,30,2018,52,私人間の侵犯事件,Infringement cases among private citizens,犯罪被害者,Victims of crimes,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,71,30,2018,53,私人間の侵犯事件,Infringement cases among private citizens,その他,Others,,,,,9,-,9,7,2,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
